date,rank,level,xp
2013-01-04,71035,82,2468051
2013-01-05,70942,82,2468051
2013-01-06,71039,82,2468051
2013-01-07,71008,82,2468083
2013-01-08,71046,82,2468083
2013-01-09,71075,82,2468083
2013-01-10,71102,82,2468083
2013-01-11,71140,82,2468083
2013-01-12,71211,82,2468083
2013-01-13,71258,82,2468083
2013-01-14,71329,82,2468083
2013-01-16,57215,86,3599218
2013-01-17,57293,86,3604486
2013-01-18,57434,86,3604486
2013-01-19,57607,86,3604498
2013-01-20,57775,86,3604514
2013-01-21,57965,86,3604514
2013-01-22,52472,86,3671563
2013-01-23,52597,86,3671563
2013-01-24,50292,86,3923796
2013-01-25,48362,87,4150190
2013-01-26,48209,87,4184836
2013-01-27,48342,87,4184836
2013-01-28,48423,87,4184848
2013-01-30,48423,87,4184848
2013-01-31,47803,87,4193282
2013-02-01,47898,87,4193282
2013-02-02,47995,87,4193282
2013-02-03,48126,87,4195489
2013-02-04,48217,87,4195489
2013-02-05,48259,87,4201768
2013-02-06,48121,87,4231901
2013-02-07,47911,87,4272629
2013-02-08,47826,87,4297745
2013-02-09,47772,87,4332363
2013-02-10,47811,87,4358158
2013-02-11,47170,88,4452341
2013-02-12,47232,88,4452341
2013-02-13,47232,88,4452341
2013-02-14,47232,88,4452341
2013-02-15,47232,88,4452341
2013-02-16,47232,88,4452341
2013-02-17,47232,88,4452341
2013-02-18,46558,88,4694461
2013-02-19,45232,88,4694491
2013-02-20,45412,88,4694733
2013-02-21,45713,88,4694733
2013-02-22,46216,88,4694747
2013-02-23,46402,88,4694747
2013-02-24,46816,88,4694778
2013-02-25,47162,88,4694778
2013-02-26,47289,88,4694778
2013-02-27,47432,88,4694778
2013-03-01,47885,88,4694778
2013-03-02,48113,88,4694778
2013-03-03,48386,88,4694778
2013-03-04,48588,88,4694778
2013-03-05,48009,88,4794829
2013-03-06,48194,88,4794829
2013-03-07,48318,88,4794829
2013-03-08,48433,88,4794850
2013-03-09,48570,88,4794850
2013-03-10,48745,88,4794871
2013-03-11,48895,88,4794871
2013-03-13,48706,89,4869466
2013-03-14,48820,89,4869466
2013-03-15,48028,89,5033113
2013-03-16,48107,89,5033114
2013-03-17,48201,89,5033130
2013-03-18,48061,89,5093910
2013-03-19,48076,89,5093970
2013-03-20,48145,89,5094375
2013-03-21,48225,89,5094451
2013-03-22,48295,89,5094451
2013-03-23,48376,89,5094451
2013-03-24,48448,89,5094451
2013-03-25,48552,89,5094451
2013-03-26,48631,89,5094451
2013-03-27,48667,89,5103614
2013-03-28,48736,89,5103614
2013-03-29,48804,89,5103618
2013-03-31,48965,89,5103677
2013-04-01,49037,89,5103677
2013-04-02,49116,89,5103844
2013-04-03,49144,89,5105846
2013-04-04,49148,89,5108018
2013-04-05,49014,89,5143188
2013-04-06,48894,89,5194920
2013-04-07,48960,89,5194920
2013-04-08,49024,89,5194920
2013-04-09,49061,89,5194920
2013-04-10,49123,89,5194920
2013-04-11,46948,89,5194966
2013-04-12,47000,89,5194966
2013-04-13,47073,89,5194966
2013-04-14,47165,89,5194981
2013-04-15,47243,89,5195049
2013-04-16,47308,89,5195061
2013-04-18,47432,89,5195869
2013-04-19,47053,89,5195869
2013-04-20,47096,89,5195869
2013-04-21,47171,89,5195869
2013-04-24,47041,89,5195934
2013-04-25,47066,89,5205097
2013-04-26,47001,89,5205097
2013-04-30,47309,89,5206060
2013-05-01,47354,89,5206168
2013-05-02,47367,89,5221028
2013-05-03,47380,89,5226951
2013-05-04,47424,89,5226951
2013-05-05,47477,89,5227605
2013-05-06,47438,89,5269091
2013-05-07,47385,89,5326476
2013-05-08,46868,90,5371764
2013-05-09,46920,90,5371764
2013-05-12,46494,90,5423155
2013-05-13,46551,90,5423179
2013-05-14,46599,90,5423179
2013-05-15,46621,90,5423179
2013-05-18,46725,90,5423179
2013-05-19,46766,90,5423179
2013-05-20,46811,90,5423179
2013-05-21,46829,90,5423179
2013-05-24,46972,90,5423179
2013-05-25,46972,90,5423179
2013-05-26,46972,90,5423179
2013-05-27,45367,90,5423179
2013-05-28,45420,90,5423179
2013-05-29,45270,90,5423179
2013-05-30,45327,90,5423179
2013-05-31,45392,90,5423179
2013-06-01,45465,90,5423179
2013-06-02,45515,90,5423179
2013-06-04,45658,90,5423179
2013-06-05,45696,90,5423179
2013-06-06,45730,90,5423179
2013-06-07,45770,90,5423179
2013-06-08,45807,90,5423179
2013-06-11,45982,90,5423179
2013-06-12,45345,90,5423179
2013-06-13,45378,90,5423179
2013-06-14,45414,90,5423179
2013-06-15,45369,90,5423179
2013-06-16,45461,90,5423179
2013-06-17,45516,90,5423179
2013-06-18,45579,90,5423179
2013-06-19,45350,90,5423179
2013-06-20,44972,90,5423179
2013-06-21,45000,90,5423179
2013-06-22,45010,90,5423179
2013-06-23,44963,90,5423179
2013-06-24,45095,90,5423179
2013-06-25,45221,90,5423179
2013-06-26,45178,90,5423179
2013-06-29,45074,90,5423179
2013-06-30,45306,90,5423179
2013-07-01,45412,90,5423179
2013-07-05,44996,90,5423179
2013-07-06,45056,90,5423179
2013-07-07,45158,90,5423179
2013-07-08,45222,90,5423179
2013-07-11,45355,90,5423179
2013-07-12,45410,90,5423179
2013-07-13,45467,90,5423179
2013-07-14,45522,90,5423179
2013-07-17,45716,90,5423179
2013-07-18,45744,90,5423179
2013-07-19,45809,90,5423179
2013-07-20,45479,90,5423179
2013-07-23,44898,90,5423930
2013-07-24,44909,90,5423930
2013-07-25,44900,90,5423930
2013-07-29,44977,90,5423930
2013-07-30,45025,90,5423930
2013-07-31,45062,90,5423930
2013-08-01,44752,90,5423930
2013-08-02,44754,90,5423930
2013-08-03,44791,90,5423930
2013-08-04,44799,90,5423930
2013-08-05,44841,90,5423930
2013-08-06,44812,90,5423930
2013-08-07,44844,90,5423930
2013-08-08,44847,90,5423930
2013-08-09,44450,90,5423930
2013-08-10,44411,90,5423930
2013-08-11,44424,90,5423930
2013-08-12,44456,90,5423930
2013-08-13,44475,90,5423930
2013-08-16,44494,90,5423930
2013-08-17,44193,90,5423930
2013-08-18,44198,90,5423930
2013-08-20,44259,90,5423930
2013-08-21,44107,90,5423930
2013-08-22,44085,90,5423930
2013-08-23,43709,90,5423930
2013-08-24,43766,90,5423930
2013-08-25,43804,90,5423930
2013-08-26,43787,90,5423930
2013-08-27,43791,90,5423930
2013-08-28,43782,90,5423930
2013-08-29,43453,90,5423930
2013-08-30,43474,90,5423930
2013-08-31,43474,90,5423930
2013-09-02,43567,90,5423930
