date,rank,level,xp
2013-01-04,186738,90,5359237
2013-01-05,185912,90,5367506
2013-01-06,186097,90,5367547
2013-01-07,186152,90,5367562
2013-01-08,186246,90,5367576
2013-01-09,186253,90,5367590
2013-01-10,186281,90,5367618
2013-01-11,186355,90,5367618
2013-01-12,186507,90,5367618
2013-01-13,186732,90,5367633
2013-01-14,186921,90,5367647
2013-01-16,187275,90,5367661
2013-01-17,187537,90,5367689
2013-01-18,187711,90,5367689
2013-01-19,187944,90,5367704
2013-01-20,188274,90,5367704
2013-01-21,188550,90,5367704
2013-01-22,163374,90,5367718
2013-01-23,163748,90,5367732
2013-01-24,163998,90,5367732
2013-01-25,164287,90,5367746
2013-01-26,164619,90,5367746
2013-01-27,165030,90,5367760
2013-01-28,165265,90,5367775
2013-01-30,165247,90,5367775
2013-01-31,161287,90,5367803
2013-02-01,161625,90,5367803
2013-02-02,162011,90,5367817
2013-02-03,162519,90,5367817
2013-02-04,162930,90,5367831
2013-02-05,163263,90,5367846
2013-02-06,163524,90,5367858
2013-02-07,163836,90,5367870
2013-02-08,164104,90,5367882
2013-02-09,164449,90,5367891
2013-02-10,164850,90,5367891
2013-02-11,165249,90,5367903
2013-02-12,164828,90,5378786
2013-02-13,164828,90,5378786
2013-02-14,164828,90,5378786
2013-02-15,164828,90,5378786
2013-02-16,164828,90,5378786
2013-02-17,164828,90,5378786
2013-02-18,168045,90,5389919
2013-02-19,159839,90,5390311
2013-02-20,160644,90,5390311
2013-02-21,162270,90,5390311
2013-02-22,165199,90,5390323
2013-02-23,165721,90,5390333
2013-02-24,166954,90,5390348
2013-02-25,168797,90,5390362
2013-02-26,169029,90,5390376
2013-02-27,163792,90,5390390
2013-03-01,165492,90,5390404
2013-03-02,166454,90,5390408
2013-03-03,167792,90,5390422
2013-03-04,168724,90,5390437
2013-03-05,167170,90,5390437
2013-03-06,168016,90,5390447
2013-03-07,168740,90,5390461
2013-03-08,169333,90,5390475
2013-03-09,169797,90,5390489
2013-03-10,169596,90,5408870
2013-03-11,170323,90,5408884
2013-03-13,171232,90,5408920
2013-03-14,171191,90,5408934
2013-03-15,170736,90,5420589
2013-03-16,170997,90,5420603
