date,rank,level,xp
2013-01-04,95376,99,16084070
2013-01-05,94855,99,16139818
2013-01-06,94005,99,16266271
2013-01-07,93315,99,16355943
2013-01-08,93345,99,16363922
2013-01-09,93211,99,16384423
2013-01-10,93129,99,16406323
2013-01-11,93157,99,16409373
2013-01-12,93211,99,16420087
2013-01-13,93374,99,16420101
2013-01-14,93501,99,16423615
2013-01-16,93714,99,16425189
2013-01-17,93527,99,16467354
2013-01-18,93417,99,16495839
2013-01-19,92813,99,16596571
2013-01-20,92677,99,16633888
2013-01-21,91515,99,16799132
2013-01-22,80682,99,16852518
2013-01-23,80815,99,16860729
2013-01-24,80987,99,16860729
2013-01-25,81144,99,16864015
2013-01-26,81299,99,16868336
2013-01-27,81491,99,16873503
2013-01-28,81534,99,16885950
2013-01-30,81538,99,16885950
2013-01-31,79771,99,16892692
2013-02-01,79933,99,16892692
2013-02-02,80137,99,16896468
2013-02-03,80164,99,16932224
2013-02-04,79966,99,16997351
2013-02-05,80077,99,17002615
2013-02-06,80105,99,17023185
2013-02-07,80188,99,17040402
2013-02-08,80356,99,17040414
2013-02-09,80542,99,17040422
2013-02-10,80791,99,17040422
2013-02-11,81007,99,17040434
2013-02-12,81095,99,17051156
2013-02-13,81095,99,17051156
2013-02-14,81095,99,17051156
2013-02-15,81095,99,17051156
2013-02-16,81095,99,17051156
2013-02-17,81095,99,17051156
2013-02-18,82511,99,17124771
2013-02-19,78965,99,17187349
2013-02-20,79343,99,17195695
2013-02-21,80052,99,17205295
2013-02-22,81368,99,17205307
2013-02-23,81664,99,17205317
2013-02-24,82240,99,17205374
2013-02-25,82971,99,17205388
2013-02-26,83085,99,17205402
2013-02-27,79889,99,17205416
2013-03-01,80292,99,17222281
2013-03-02,80518,99,17231068
2013-03-03,80971,99,17231082
2013-03-04,81238,99,17231096
2013-03-05,79060,99,17462090
2013-03-06,77584,99,17731383
2013-03-07,77729,99,17746986
2013-03-08,75750,99,18078353
2013-03-09,75340,99,18167130
2013-03-10,74259,99,18366490
2013-03-11,73994,99,18447310
2013-03-13,74056,99,18460908
2013-03-14,73632,99,18515066
2013-03-15,73487,99,18532654
2013-03-16,73300,99,18567787
2013-03-17,72995,99,18637769
2013-03-18,72808,99,18690150
2013-03-19,72703,99,18698400
2013-03-20,72798,99,18698498
2013-03-21,72789,99,18698557
2013-03-22,72851,99,18698557
2013-03-23,72907,99,18698557
2013-03-24,72984,99,18698557
2013-03-25,73151,99,18699519
2013-03-26,73108,99,18710492
2013-03-27,72998,99,18749935
2013-03-28,72759,99,18799682
2013-03-29,72679,99,18827720
2013-03-31,70248,99,19269503
2013-04-01,70000,99,19339809
2013-04-02,68050,99,19677458
2013-04-03,66713,99,19909068
2013-04-04,66455,99,19955176
2013-04-05,66426,99,19966792
2013-04-06,66275,99,19997454
2013-04-07,66005,99,20052329
2013-04-08,66085,99,20052329
