date,rank,level,xp
2013-01-04,116842,73,1009710
2013-01-05,116978,73,1009710
2013-01-06,117219,73,1009710
2013-01-07,112802,73,1056857
2013-01-08,112901,73,1056857
2013-01-09,112978,73,1056857
2013-01-10,113057,73,1056857
2013-01-11,113099,73,1057533
2013-01-12,113222,73,1057533
2013-01-13,113421,73,1057533
2013-01-14,113593,73,1057868
2013-01-16,113794,73,1057868
2013-01-17,113530,73,1064037
2013-01-18,113638,73,1064037
2013-01-19,113846,73,1064037
2013-01-20,112307,74,1096737
2013-01-21,112336,74,1098237
2013-01-22,99909,74,1119865
2013-01-23,100130,74,1119865
2013-01-24,100324,74,1119865
2013-01-25,100486,74,1119865
2013-01-26,100515,74,1122588
2013-01-27,100746,74,1122588
2013-01-28,100911,74,1122588
2013-01-30,100903,74,1122588
2013-01-31,98673,74,1133146
2013-02-01,98864,74,1133146
2013-02-02,99115,74,1133146
2013-02-03,97152,74,1179628
2013-02-04,91168,75,1232304
2013-02-05,89196,75,1245844
2013-02-06,83907,75,1297447
2013-02-07,81002,76,1341509
2013-02-08,79050,76,1369901
2013-02-09,77160,76,1407902
2013-02-10,76181,76,1435967
2013-02-11,72353,77,1540362
2013-02-12,72288,77,1546237
2013-02-13,72288,77,1546237
2013-02-14,72288,77,1546237
2013-02-15,72288,77,1546237
2013-02-16,72288,77,1546237
2013-02-17,72288,77,1546237
2013-02-18,73522,77,1546822
2013-02-19,71488,77,1546822
2013-02-20,71713,77,1547515
2013-02-21,72198,77,1547515
2013-02-22,72978,77,1547515
2013-02-23,73103,77,1547515
2013-02-24,73648,77,1547515
2013-02-25,74128,77,1547515
2013-02-26,74226,77,1547515
2013-02-27,74439,77,1547515
2013-03-01,75073,77,1547515
2013-03-02,75506,77,1547515
2013-03-03,75920,77,1547515
2013-03-04,76208,77,1547515
2013-03-05,76070,77,1547515
2013-03-06,76394,77,1547515
2013-03-07,76644,77,1547515
2013-03-08,76858,77,1547515
2013-03-09,77074,77,1547515
2013-03-10,75763,77,1603436
2013-03-11,76006,77,1603436
2013-03-13,76363,77,1603436
2013-03-14,76527,77,1603436
2013-03-15,76663,77,1603436
2013-03-16,76812,77,1603816
2013-03-17,77005,77,1603816
2013-03-18,77205,77,1603816
2013-03-19,77354,77,1603816
2013-03-20,77484,77,1603816
2013-03-21,77636,77,1603816
2013-03-22,77753,77,1603816
2013-03-23,77906,77,1603816
2013-03-24,78054,77,1603816
2013-03-25,78239,77,1603816
2013-03-26,78364,77,1603816
2013-03-27,78516,77,1603816
2013-03-28,78648,77,1603816
2013-03-29,76581,78,1677254
2013-03-31,74846,78,1765660
2013-04-01,73582,79,1841010
2013-04-02,73708,79,1846443
2013-04-03,61764,80,2175439
2013-04-04,57841,81,2305592
2013-04-05,56240,81,2399359
2013-04-06,56324,81,2399359
2013-04-07,56454,81,2399359
2013-04-08,56546,81,2399359
2013-04-09,54815,82,2480596
2013-04-10,54896,82,2480596
2013-04-11,53062,82,2480596
2013-04-12,53154,82,2480596
2013-04-13,53237,82,2480596
2013-04-14,53336,82,2480596
2013-04-15,53430,82,2480596
2013-04-16,52090,82,2563846
2013-04-18,52237,82,2563846
2013-04-19,51949,82,2563846
2013-04-20,52017,82,2563846
2013-04-21,52096,82,2563846
2013-04-24,52038,82,2563846
2013-04-25,52102,82,2563846
2013-04-26,52055,82,2563846
2013-04-30,50174,83,2730851
2013-05-01,50257,83,2730851
2013-05-02,49316,83,2816139
2013-05-03,48544,83,2901426
2013-05-04,48606,83,2901426
2013-05-05,47914,84,2975593
2013-05-06,47128,84,3062943
2013-05-07,47188,84,3062943
2013-05-08,46492,84,3150293
2013-05-09,44919,85,3324993
2013-05-12,44244,85,3417159
2013-05-13,44318,85,3417159
2013-05-14,44371,85,3417159
2013-05-15,44412,85,3417159
2013-05-18,44549,85,3417159
2013-05-19,44629,85,3417159
2013-05-20,44686,85,3417159
2013-05-21,44738,85,3417159
2013-05-24,44992,85,3417159
2013-05-25,44992,85,3417159
2013-05-26,44992,85,3417159
2013-05-27,44003,85,3417159
2013-05-28,44088,85,3417159
2013-05-29,44004,85,3417159
2013-05-30,44061,85,3417159
2013-05-31,44161,85,3417159
2013-06-01,44263,85,3417159
2013-06-02,44392,85,3417159
2013-06-04,44567,85,3417159
2013-06-05,44641,85,3417159
2013-06-06,44702,85,3417159
2013-06-07,44768,85,3417159
2013-06-08,44865,85,3417159
2013-06-11,45136,85,3417159
2013-06-12,44697,85,3417159
2013-06-13,44738,85,3417159
2013-06-14,44807,85,3417159
2013-06-15,44791,85,3417159
2013-06-16,44871,85,3417159
2013-06-17,44936,85,3417159
2013-06-18,45014,85,3417159
2013-06-19,44854,85,3417159
2013-06-20,44508,85,3417159
2013-06-21,44571,85,3417159
2013-06-22,44575,85,3417159
2013-06-23,44561,85,3417159
2013-06-24,44689,85,3417159
2013-06-25,44819,85,3417159
2013-06-26,44786,85,3417159
2013-06-29,44799,85,3417159
2013-06-30,44958,85,3417159
2013-07-01,45068,85,3417159
2013-07-05,44925,85,3417159
2013-07-06,45016,85,3417159
2013-07-07,45122,85,3417159
2013-07-08,45219,85,3417159
2013-07-11,45386,85,3417159
2013-07-12,45449,85,3417159
2013-07-13,45518,85,3417159
2013-07-14,45571,85,3417159
2013-07-17,45757,85,3417509
2013-07-18,45816,85,3417509
2013-07-19,45889,85,3417509
2013-07-20,45714,85,3417509
2013-07-23,45261,85,3417896
2013-07-24,45304,85,3417896
2013-07-25,45327,85,3417896
2013-07-29,45451,85,3417896
2013-07-30,45517,85,3417896
2013-07-31,45558,85,3417896
2013-08-01,45348,85,3417896
2013-08-02,45418,85,3417896
2013-08-03,45480,85,3417896
2013-08-04,45525,85,3417896
2013-08-05,45578,85,3417896
2013-08-06,45582,85,3417896
2013-08-07,45649,85,3417896
2013-08-08,45680,85,3417896
2013-08-09,45396,85,3417896
2013-08-10,45390,85,3417896
2013-08-11,45415,85,3417896
2013-08-12,45465,85,3417896
2013-08-13,45513,85,3417896
