date,rank,level,xp
2013-01-04,233287,80,2121549
2013-01-05,233382,80,2121549
2013-01-06,233770,80,2121549
2013-01-07,233966,80,2121549
2013-01-08,234181,80,2121549
2013-01-09,234350,80,2121549
2013-01-10,234523,80,2121549
2013-01-11,234591,80,2121949
2013-01-12,234877,80,2121949
2013-01-13,235252,80,2121949
2013-01-14,235607,80,2121949
2013-01-16,236086,80,2121949
2013-01-17,236420,80,2121949
2013-01-18,236663,80,2121949
2013-01-19,237023,80,2121949
2013-01-20,237507,80,2122001
2013-01-21,237872,80,2122001
2013-01-22,200306,81,2221610
2013-01-23,200790,81,2221610
2013-01-24,201182,81,2221610
2013-01-25,201541,81,2221610
2013-01-26,201939,81,2221610
2013-01-27,202490,81,2221610
2013-01-28,202796,81,2221610
2013-01-30,202785,81,2221610
2013-01-31,196133,81,2250428
2013-02-01,196143,81,2258761
2013-02-02,196520,81,2258761
2013-02-03,196643,81,2269078
2013-02-04,196998,81,2271904
2013-02-05,197396,81,2271904
2013-02-06,197662,81,2271904
2013-02-07,198037,81,2271904
2013-02-08,198352,81,2271904
2013-02-09,198715,81,2271904
2013-02-10,199282,81,2271904
2013-02-11,199739,81,2271904
2013-02-12,200067,81,2271904
2013-02-13,200067,81,2271904
2013-02-14,200067,81,2271904
2013-02-15,200067,81,2271904
2013-02-16,200067,81,2271904
2013-02-17,200067,81,2271904
2013-02-18,204564,81,2272446
2013-02-19,193261,81,2272446
2013-02-20,194189,81,2272655
2013-02-21,195817,81,2272655
2013-02-22,199096,81,2272655
2013-02-23,199707,81,2272655
2013-02-24,202337,81,2272655
2013-02-25,204790,81,2272655
2013-02-26,205236,81,2272655
2013-02-27,206406,81,2272655
2013-03-01,209523,81,2272655
2013-03-02,211177,81,2272655
2013-03-03,212866,81,2276822
2013-03-04,214273,81,2276822
2013-03-05,212569,81,2276822
2013-03-06,213800,81,2276822
2013-03-07,214837,81,2276822
2013-03-08,215773,81,2276822
2013-03-09,216745,81,2276822
2013-03-10,217992,81,2276822
2013-03-11,219089,81,2276822
2013-03-13,220733,81,2276822
2013-03-14,221362,81,2276822
2013-03-15,221911,81,2276822
2013-03-16,222568,81,2276822
2013-03-17,223407,81,2276822
2013-03-18,224144,81,2276822
