date,rank,level,xp
2013-01-04,105089,80,1986295
2013-01-05,105056,80,1986295
2013-01-06,105198,80,1986329
2013-01-07,105291,80,1986329
2013-01-08,105368,80,1986329
2013-01-09,105495,80,1986329
2013-01-10,105553,80,1986329
2013-01-11,105651,80,1986359
2013-01-12,105772,80,1986359
2013-01-13,105931,80,1986359
2013-01-14,106112,80,1986359
2013-01-16,106323,80,1986359
2013-01-17,104044,80,1999859
2013-01-18,104167,80,1999859
2013-01-19,104349,80,1999859
2013-01-20,104542,80,1999859
2013-01-21,104700,80,1999859
2013-01-22,95814,80,1999894
2013-01-23,95557,80,2003875
2013-01-24,95751,80,2003875
2013-01-25,95925,80,2003875
2013-01-26,95649,80,2008735
2013-01-27,95862,80,2008735
2013-01-28,96023,80,2008735
2013-01-30,96018,80,2008735
2013-01-31,93039,80,2032895
2013-02-01,93228,80,2032895
2013-02-02,93395,80,2032895
2013-02-03,93536,80,2034275
2013-02-04,93701,80,2034275
2013-02-05,93195,80,2046695
2013-02-06,89769,80,2116016
2013-02-07,86665,81,2204576
2013-02-08,84421,81,2261816
2013-02-09,82104,81,2339036
2013-02-10,81033,81,2395196
2013-02-11,76296,82,2610116
2013-02-12,76448,82,2610116
2013-02-13,76448,82,2610116
2013-02-14,76448,82,2610116
2013-02-15,76448,82,2610116
2013-02-16,76448,82,2610116
2013-02-17,76448,82,2610116
2013-02-18,77649,82,2614465
2013-02-19,75442,82,2614465
2013-02-20,75730,82,2614700
2013-02-21,76142,82,2614700
2013-02-22,76882,82,2614700
2013-02-23,76997,82,2614700
2013-02-24,77432,82,2614700
2013-02-25,77856,82,2614700
2013-02-26,77937,82,2614700
2013-02-27,78040,82,2614700
2013-03-01,78610,82,2619048
2013-03-02,78778,82,2628552
2013-03-03,78563,82,2672516
2013-03-04,78804,83,2673244
2013-03-05,78505,83,2673254
2013-03-06,78778,83,2673254
2013-03-07,78973,83,2673254
2013-03-08,79157,83,2673254
2013-03-09,79333,83,2673254
2013-03-10,79613,83,2673254
2013-03-11,79843,83,2673264
2013-03-13,80175,83,2673264
2013-03-14,80272,83,2673264
2013-03-15,80379,83,2673264
2013-03-16,80491,83,2673264
2013-03-17,80636,83,2673264
2013-03-18,80779,83,2673264
2013-03-19,80847,83,2673264
2013-03-20,80971,83,2673264
2013-03-21,80385,83,2698810
2013-03-22,80486,83,2698810
2013-03-23,80597,83,2698810
2013-03-24,80736,83,2698810
2013-03-25,80874,83,2698810
2013-03-26,80973,83,2698810
2013-03-27,81089,83,2698810
2013-03-28,81189,83,2698810
2013-03-29,81275,83,2698810
2013-03-31,81513,83,2698860
2013-04-01,81683,83,2698864
2013-04-02,81838,83,2698864
2013-04-03,81889,83,2699396
2013-04-04,81906,83,2700350
2013-04-05,81928,83,2702602
2013-04-06,81769,83,2713715
2013-04-07,81805,83,2718238
2013-04-08,80967,83,2765038
2013-04-09,81079,83,2765038
2013-04-10,81191,83,2765038
2013-04-11,77963,83,2765038
2013-04-12,78047,83,2765038
2013-04-13,78185,83,2765038
2013-04-14,78351,83,2765038
2013-04-15,78486,83,2765138
2013-04-16,78584,83,2765138
2013-04-18,78777,83,2765138
2013-04-19,78265,83,2765138
2013-04-20,78341,83,2765138
2013-04-21,78455,83,2765138
2013-04-24,78240,83,2765140
2013-04-25,78303,83,2765140
2013-04-26,78228,83,2765140
2013-04-30,77404,83,2845692
