date,rank,level,xp
2013-01-04,151668,91,5933920
2013-01-05,149486,91,6050830
2013-01-06,147164,91,6235008
2013-01-07,145664,91,6379352
2013-01-08,145548,91,6403603
2013-01-09,145088,91,6465771
2013-01-10,144370,92,6535054
2013-01-11,144296,92,6544320
2013-01-12,143958,92,6577006
2013-01-13,144181,92,6577020
2013-01-14,144261,92,6587570
2013-01-16,144568,92,6592289
2013-01-17,143074,92,6726633
2013-01-18,143109,92,6744330
2013-01-19,142116,92,6861346
2013-01-20,141839,92,6916834
2013-01-21,137811,93,7378985
2013-01-22,121500,93,7411814
2013-01-23,121505,93,7452445
2013-01-24,121802,93,7452445
2013-01-25,122021,93,7462443
2013-01-26,122216,93,7475404
2013-01-27,122459,93,7491113
2013-01-28,122462,93,7528898
2013-01-30,122458,93,7528898
2013-01-31,120078,93,7549383
2013-02-01,120379,93,7549383
2013-02-02,120663,93,7560894
2013-02-03,120369,93,7662680
2013-02-04,119655,93,7835099
2013-02-05,119829,93,7851121
2013-02-06,119756,93,7913668
2013-02-07,120040,93,7913681
2013-02-08,120279,93,7913693
2013-02-09,120566,93,7913701
2013-02-10,120922,93,7913701
2013-02-11,121282,93,7913714
2013-02-12,121507,93,7924596
2013-02-13,121507,93,7924596
2013-02-14,121507,93,7924596
2013-02-15,121507,93,7924596
2013-02-16,121507,93,7924596
2013-02-17,121507,93,7924596
2013-02-18,122698,94,8125927
2013-02-19,116330,94,8314823
2013-02-20,116712,94,8340157
2013-02-21,117588,94,8369416
2013-02-22,119404,94,8369428
2013-02-23,119682,94,8369438
2013-02-24,120254,94,8369582
2013-02-25,121474,94,8369596
2013-02-26,121520,94,8369610
2013-02-27,116557,94,8369624
2013-03-01,117139,94,8428248
2013-03-02,117483,94,8454998
2013-03-03,118237,94,8455012
2013-03-04,118704,94,8455026
2013-03-05,115157,95,8877968
2013-03-06,111440,96,9694202
2013-03-07,111531,96,9741662
2013-03-08,107462,97,10746118
2013-03-09,106619,97,11015190
2013-03-10,105114,97,11618153
2013-03-11,104906,98,11857636
2013-03-13,105220,98,11899015
2013-03-14,105197,98,11899029
2013-03-15,105121,98,11939421
2013-03-16,105220,98,11940156
2013-03-17,104842,98,12153502
2013-03-18,105144,98,12153502
2013-03-19,105148,98,12157236
2013-03-20,105335,98,12157250
2013-03-21,105416,98,12157350
2013-03-22,105563,98,12157350
2013-03-23,105707,98,12157350
2013-03-24,105847,98,12157350
2013-03-25,106122,98,12160292
2013-03-26,106145,98,12193661
2013-03-27,106205,98,12251216
2013-03-28,106306,98,12272312
2013-03-29,106430,98,12273356
2013-03-31,105624,98,12879575
2013-04-01,105860,98,12936033
2013-04-02,105873,98,13025440
2013-04-03,93906,99,13161713
2013-04-04,92421,99,13190536
2013-04-05,92449,99,13190550
2013-04-06,92546,99,13190691
2013-04-07,92566,99,13190706
2013-04-08,92693,99,13190706
2013-04-09,92791,99,13190706
2013-04-10,92924,99,13190706
2013-04-11,86419,99,13199353
2013-04-12,83420,99,13272176
2013-04-13,82216,99,13307663
2013-04-14,81650,99,13332135
2013-04-15,81685,99,13336970
2013-04-16,81425,99,13350806
2013-04-18,79873,99,13408235
2013-04-19,78425,99,13428155
2013-04-20,76758,99,13496877
2013-04-21,75662,99,13544952
2013-04-24,75135,99,13561337
2013-04-25,75245,99,13561741
2013-04-26,75182,99,13561741
2013-04-30,75614,99,13574036
2013-05-01,73072,99,13686856
2013-05-02,73180,99,13688504
2013-05-03,73168,99,13693747
2013-05-04,73210,99,13693747
2013-05-05,72819,99,13719634
2013-05-06,70716,99,13829016
2013-05-07,70822,99,13829016
2013-05-08,70838,99,13833309
2013-05-09,70632,99,13848335
2013-05-12,68452,99,13990366
2013-05-13,67858,99,14033310
2013-05-14,67925,99,14033310
2013-05-15,68043,99,14033310
2013-05-18,68035,99,14033310
2013-05-19,68184,99,14033310
2013-05-20,68246,99,14033310
2013-05-21,68282,99,14033310
2013-05-24,68556,99,14033310
2013-05-25,68556,99,14033310
2013-05-26,68556,99,14033310
2013-05-27,66046,99,14033310
2013-05-28,66245,99,14033310
2013-05-29,66025,99,14033310
2013-05-30,66086,99,14033310
2013-05-31,66198,99,14033310
2013-06-01,66281,99,14033310
2013-06-02,66383,99,14033310
2013-06-04,66622,99,14033310
2013-06-05,66713,99,14033310
2013-06-06,66904,99,14033310
2013-06-07,67023,99,14033310
2013-06-08,67174,99,14033310
2013-06-11,67509,99,14033310
2013-06-12,66420,99,14033310
2013-06-13,66478,99,14033310
2013-06-14,66563,99,14033310
2013-06-15,66566,99,14033310
2013-06-16,66634,99,14033310
2013-06-17,66750,99,14033310
