date,rank,level,xp
2013-01-04,59432,93,7283272
2013-01-05,59371,93,7283272
2013-01-06,59464,93,7283272
2013-01-07,59435,93,7283272
2013-01-08,59471,93,7284358
2013-01-09,58940,93,7385275
2013-01-10,58974,93,7385275
2013-01-11,59002,93,7385275
2013-01-12,59081,93,7385275
2013-01-13,59163,93,7385275
2013-01-14,58475,93,7520761
2013-01-16,58599,93,7520761
2013-01-17,58628,93,7520761
2013-01-18,58697,93,7520761
2013-01-19,58812,93,7520761
2013-01-20,58934,93,7520761
2013-01-21,59024,93,7520761
2013-01-22,52614,93,7532161
2013-01-23,52733,93,7532161
2013-01-24,52870,93,7532161
2013-01-25,52984,93,7532161
2013-01-26,52650,93,7632506
2013-01-27,52836,93,7632506
2013-01-28,52942,93,7632506
2013-01-30,52940,93,7632506
2013-01-31,52037,93,7632506
2013-02-01,52150,93,7632506
2013-02-02,52276,93,7632506
2013-02-03,48211,95,8796716
2013-02-04,48269,95,8815561
2013-02-05,48371,95,8815561
2013-02-06,47930,95,8973548
2013-02-07,48067,95,8973548
2013-02-08,48224,95,8973548
2013-02-09,48332,95,8973548
2013-02-10,48510,95,8973548
2013-02-11,48691,95,8973548
2013-02-12,48819,95,8973548
2013-02-13,48819,95,8973548
2013-02-14,48819,95,8973548
2013-02-15,48819,95,8973548
2013-02-16,48819,95,8973548
2013-02-17,48819,95,8973548
2013-02-18,49616,95,9109697
2013-02-19,48020,95,9109697
2013-02-20,47523,95,9359792
2013-02-21,48009,95,9359792
2013-02-22,48900,95,9359792
2013-02-23,49111,95,9359792
2013-02-24,49620,95,9359792
2013-02-25,50095,95,9359792
2013-02-26,50170,95,9374857
2013-02-27,50413,95,9374857
2013-03-01,50939,95,9374857
2013-03-02,51222,95,9374857
2013-03-03,51535,95,9374857
2013-03-04,51777,95,9374857
2013-03-05,51575,95,9374857
2013-03-06,51806,95,9374857
2013-03-07,51969,95,9374857
2013-03-08,52107,95,9374857
2013-03-09,52281,95,9374857
2013-03-10,52472,95,9381857
2013-03-11,52607,95,9381857
2013-03-13,52881,95,9381857
