date,rank,level,xp
2013-01-04,114485,73,1045640
2013-01-05,107558,74,1206937
2013-01-06,103997,75,1273037
2013-01-07,98642,76,1408462
2013-01-08,96067,77,1495317
2013-01-09,91243,78,1659672
2013-01-10,88643,78,1774106
2013-01-11,86412,79,1893427
2013-01-12,83054,80,2016025
2013-01-13,77706,80,2144932
2013-01-14,76271,81,2208529
2013-01-16,69661,82,2521224
2013-01-17,67489,83,2677847
2013-01-18,65498,83,2800419
2013-01-19,64152,83,2922740
2013-01-20,61080,84,3183238
2013-01-21,60142,85,3286219
2013-01-22,54277,85,3464898
2013-01-23,52981,86,3633018
2013-01-24,51832,86,3771040
2013-01-25,50960,86,3906082
2013-01-26,50077,87,4045830
2013-01-27,49008,87,4200725
2013-01-28,48244,87,4345838
2013-01-30,48142,87,4372837
2013-01-31,45304,88,4768571
2013-02-01,45367,88,4768571
2013-02-02,44738,89,4917998
2013-02-03,44089,89,5061140
2013-02-04,43436,89,5240134
2013-02-05,42955,90,5367680
2013-02-06,40948,90,5678967
2013-02-07,39256,91,6104398
2013-02-08,38218,91,6379662
2013-02-09,36973,92,6729430
2013-02-10,36268,92,6949185
2013-02-11,33684,93,7808575
2013-02-12,33516,93,7925486
2013-02-13,33516,93,7925486
2013-02-14,33516,93,7925486
2013-02-15,33516,93,7925486
2013-02-16,33516,93,7925486
2013-02-17,33516,93,7925486
2013-02-18,31916,95,8807464
2013-02-19,30978,95,8949300
2013-02-20,30844,95,9065320
2013-02-21,30769,95,9202882
2013-02-22,30674,95,9371389
2013-02-23,30519,95,9488717
2013-02-24,30515,95,9600557
2013-02-25,30555,96,9688783
2013-02-26,30308,96,9826151
2013-02-27,30158,96,9950679
2013-03-01,29780,96,10296249
2013-03-02,29620,96,10472094
2013-03-03,29558,96,10638888
2013-03-04,29440,97,10773177
2013-03-05,29049,97,11013595
2013-03-06,28990,97,11131262
2013-03-07,28925,97,11235013
2013-03-08,28722,97,11474519
2013-03-09,28651,97,11613259
2013-03-10,28602,97,11754693
2013-03-11,28489,98,11902758
2013-03-13,28321,98,12136600
2013-03-14,28262,98,12253184
2013-03-15,28147,98,12398777
2013-03-16,28093,98,12532306
2013-03-17,28028,98,12686953
2013-03-18,27982,98,12827560
2013-03-19,27673,99,13035869
2013-03-20,26110,99,13084252
2013-03-21,25783,99,13099125
2013-03-22,25254,99,13122970
2013-03-23,25300,99,13122982
2013-03-24,25341,99,13122982
2013-03-25,25103,99,13135369
2013-03-26,25133,99,13135369
2013-03-27,25171,99,13135369
2013-03-28,25221,99,13135369
2013-03-29,25248,99,13135369
2013-03-31,24986,99,13152666
2013-04-01,24649,99,13172406
2013-04-02,24505,99,13182245
2013-04-03,24473,99,13184846
2013-04-04,24449,99,13187279
2013-04-05,24474,99,13187279
2013-04-06,24505,99,13187779
2013-04-07,24279,99,13202779
2013-04-08,24257,99,13206850
2013-04-09,24283,99,13206850
2013-04-10,24316,99,13206850
2013-04-11,23644,99,13206854
2013-04-12,23608,99,13212265
2013-04-13,23646,99,13212265
2013-04-14,23365,99,13232265
2013-04-15,23395,99,13232434
2013-04-16,23426,99,13232434
2013-04-18,23489,99,13232434
2013-04-19,23413,99,13232434
2013-04-20,23444,99,13232434
2013-04-21,23481,99,13232434
2013-04-24,23473,99,13232469
2013-04-25,23495,99,13232469
2013-04-26,23479,99,13232469
2013-04-30,23553,99,13237978
2013-05-01,23413,99,13247978
2013-05-02,23295,99,13257501
2013-05-03,23314,99,13257501
2013-05-04,23334,99,13257501
2013-05-05,23363,99,13258142
2013-05-06,23202,99,13270470
2013-05-07,23010,99,13286905
2013-05-08,22912,99,13293605
2013-05-09,22938,99,13293605
2013-05-12,23040,99,13294344
2013-05-13,23071,99,13294344
2013-05-14,23104,99,13294344
2013-05-15,23118,99,13294344
2013-05-18,23187,99,13294344
2013-05-19,23206,99,13294344
2013-05-20,23225,99,13294344
2013-05-21,23258,99,13294344
2013-05-24,23390,99,13294344
2013-05-25,23390,99,13294344
2013-05-26,23390,99,13294344
2013-05-27,22994,99,13294344
2013-05-28,23023,99,13294344
2013-05-29,22977,99,13294344
2013-05-30,23009,99,13294344
2013-05-31,23050,99,13294344
2013-06-01,23085,99,13294344
2013-06-02,23105,99,13294344
2013-06-04,23183,99,13294344
2013-06-05,23218,99,13294344
2013-06-06,23245,99,13294344
2013-06-07,23265,99,13294344
2013-06-08,23307,99,13294344
2013-06-11,23433,99,13294344
2013-06-12,23243,99,13294344
2013-06-13,23268,99,13294344
2013-06-14,23320,99,13294344
2013-06-15,23336,99,13294344
2013-06-16,23379,99,13294344
2013-06-17,23427,99,13294344
2013-06-18,23460,99,13294344
2013-06-19,23396,99,13294344
2013-06-20,23165,99,13294344
2013-06-21,23211,99,13294344
2013-06-22,23253,99,13294344
2013-06-23,23275,99,13294344
2013-06-24,23319,99,13294344
2013-06-25,23380,99,13294344
2013-06-26,23411,99,13294344
2013-06-29,23513,99,13294344
2013-06-30,23554,99,13294344
2013-07-01,23620,99,13294344
