date,rank,level,xp
2013-01-04,154396,84,3187817
2013-01-05,154415,84,3187857
2013-01-06,154700,84,3187897
2013-01-07,143929,86,3688456
2013-01-08,135451,87,4302859
2013-01-09,132191,88,4583769
2013-01-10,132300,88,4583809
2013-01-11,129547,89,4905524
2013-01-12,129743,89,4905524
2013-01-13,129780,89,4925374
2013-01-14,129989,89,4925844
2013-01-16,129900,89,4964344
2013-01-17,130157,89,4964384
2013-01-18,130361,89,4964384
2013-01-19,130631,89,4964424
2013-01-20,130925,89,4964644
2013-01-21,131161,89,4964644
2013-01-22,115348,89,4995365
2013-01-23,114299,89,5209901
2013-01-24,113997,90,5348417
2013-01-25,114101,90,5352295
2013-01-26,114365,90,5352785
2013-01-27,114660,90,5352825
2013-01-28,114820,90,5352865
2013-01-30,114819,90,5352865
2013-01-31,112334,90,5361345
2013-02-01,112561,90,5361345
2013-02-02,112785,90,5361385
2013-02-03,112869,90,5373935
2013-02-04,113113,90,5374283
2013-02-05,112531,90,5422938
2013-02-06,112710,90,5424051
2013-02-07,112910,90,5426428
2013-02-08,113110,90,5426428
2013-02-09,113354,90,5426468
2013-02-10,113666,90,5426468
2013-02-11,113978,90,5426508
2013-02-12,112138,90,5618226
2013-02-13,112138,90,5618226
2013-02-14,112138,90,5618226
2013-02-15,112138,90,5618226
2013-02-16,112138,90,5618226
2013-02-17,112138,90,5618226
2013-02-18,107578,92,6643281
2013-02-19,102780,92,6643381
2013-02-20,103293,92,6643821
2013-02-21,104183,92,6643861
2013-02-22,105656,92,6643901
2013-02-23,105904,92,6643901
2013-02-24,107129,92,6643941
2013-02-25,108204,92,6643981
2013-02-26,108447,92,6644021
2013-02-27,109040,92,6644021
2013-03-01,110441,92,6644061
2013-03-02,111169,92,6644101
2013-03-03,112002,92,6644141
2013-03-04,110663,92,6774154
2013-03-05,107711,92,6992313
2013-03-06,108253,92,6992353
2013-03-07,108720,92,6992433
2013-03-08,109135,92,6992493
2013-03-09,109515,92,7001941
2013-03-10,110054,92,7001981
2013-03-11,110538,92,7002061
2013-03-13,109287,93,7255033
2013-03-14,109571,93,7255073
2013-03-15,109804,93,7255193
2013-03-16,110095,93,7255273
2013-03-17,110409,93,7260361
2013-03-18,110618,93,7273798
2013-03-19,108438,93,7558262
2013-03-20,108668,93,7558302
2013-03-21,108915,93,7558342
2013-03-22,109134,93,7558342
2013-03-23,109391,93,7558342
2013-03-24,109645,93,7558342
2013-03-25,109935,93,7558342
2013-03-26,110161,93,7558382
2013-03-27,110132,93,7594052
2013-03-28,110322,93,7594052
2013-03-29,110569,93,7594092
2013-03-31,111022,93,7594172
2013-04-01,111328,93,7594332
2013-04-02,111568,93,7594332
2013-04-03,111764,93,7594802
2013-04-04,111840,93,7595907
2013-04-05,111742,93,7625282
2013-04-06,111304,93,7718953
2013-04-07,111460,93,7718993
2013-04-08,111629,93,7718993
2013-04-09,111752,93,7718993
2013-04-10,111904,93,7718993
2013-04-11,104549,93,7718993
2013-04-12,104713,93,7718993
2013-04-13,104909,93,7718993
2013-04-14,105152,93,7718993
2013-04-15,105425,93,7719188
2013-04-16,105584,93,7719188
2013-04-18,105820,93,7719228
2013-04-19,104434,93,7719228
2013-04-20,104560,93,7720907
2013-04-21,104780,93,7720907
2013-04-24,104143,93,7722894
2013-04-25,104113,93,7751364
2013-04-26,103884,93,7751364
2013-04-30,104677,93,7751724
2013-05-01,104813,93,7751924
2013-05-02,104967,93,7751924
2013-05-03,105082,93,7751924
2013-05-04,105193,93,7751924
2013-05-05,105344,93,7752549
2013-05-06,105489,93,7754082
2013-05-07,105615,93,7754082
2013-05-08,105717,93,7754082
2013-05-09,105826,93,7754082
2013-05-12,106223,93,7756195
2013-05-13,106347,93,7757913
2013-05-14,106399,93,7757913
2013-05-15,106446,93,7757913
2013-05-18,106611,93,7757913
2013-05-19,106804,93,7757913
2013-05-20,106925,93,7757913
2013-05-21,107012,93,7757913
2013-05-24,107301,93,7764842
2013-05-25,107301,93,7764842
2013-05-26,107301,93,7764842
2013-05-27,101874,93,7764842
2013-05-28,102063,93,7764842
2013-05-29,101476,93,7764842
2013-05-30,101603,93,7764842
2013-05-31,101773,93,7764842
2013-06-01,101964,93,7764842
2013-06-02,102196,93,7764842
2013-06-04,102523,93,7764842
2013-06-05,102655,93,7764842
2013-06-06,102745,93,7764842
2013-06-07,102874,93,7764842
2013-06-08,103051,93,7764842
2013-06-11,103628,93,7764842
2013-06-12,101462,93,7764842
2013-06-13,101465,93,7764842
2013-06-14,101633,93,7764842
