date,rank,level,xp
2013-01-04,266011,73,1093956
2013-01-05,266032,73,1093956
2013-01-06,266460,73,1093956
2013-01-07,266667,73,1093956
2013-01-08,266894,73,1093956
2013-01-09,266979,73,1093956
2013-01-10,267116,73,1093956
2013-01-11,267267,73,1094366
2013-01-12,267531,73,1094366
2013-01-13,267964,73,1094366
2013-01-14,268338,73,1094366
2013-01-16,267792,74,1103206
2013-01-17,262759,74,1164610
2013-01-18,262937,74,1164610
2013-01-19,263320,74,1164610
2013-01-20,263829,74,1164610
2013-01-21,264270,74,1164610
2013-01-22,223642,75,1219163
2013-01-23,224053,75,1219163
2013-01-24,224505,75,1219163
2013-01-25,224912,75,1219163
2013-01-26,225355,75,1219163
2013-01-27,225916,75,1219163
2013-01-28,226257,75,1219163
2013-01-30,226222,75,1219163
2013-01-31,218600,75,1239106
2013-02-01,218969,75,1239106
2013-02-02,219383,75,1239106
2013-02-03,219966,75,1239106
2013-02-04,218264,75,1277684
2013-02-05,218655,75,1277684
2013-02-06,218880,75,1277684
2013-02-07,219240,75,1277684
2013-02-08,219538,75,1277684
2013-02-09,219984,75,1277684
2013-02-10,220564,75,1277684
2013-02-11,221115,75,1277684
2013-02-12,221153,75,1283259
2013-02-13,221153,75,1283259
2013-02-14,221153,75,1283259
2013-02-15,221153,75,1283259
2013-02-16,221153,75,1283259
2013-02-17,221153,75,1283259
2013-02-18,225469,75,1296115
2013-02-19,212740,75,1296115
2013-02-20,213718,75,1296115
2013-02-21,215581,75,1296115
2013-02-22,219008,75,1296115
2013-02-23,219463,75,1296115
2013-02-24,222345,75,1296115
2013-02-25,225039,75,1296115
2013-02-26,225278,75,1296115
2013-02-27,226234,75,1296115
2013-03-01,229663,75,1296115
2013-03-02,231429,75,1296115
2013-03-03,233592,75,1296115
2013-03-04,235241,75,1296115
2013-03-05,233335,75,1296115
2013-03-06,234710,75,1296115
2013-03-07,235905,75,1296115
2013-03-08,236972,75,1296115
2013-03-09,238123,75,1296115
2013-03-10,239626,75,1296115
