date,rank,level,xp
2013-01-04,271581,75,1290855
2013-01-05,271653,75,1290865
2013-01-06,272122,75,1290875
2013-01-07,271918,75,1297314
2013-01-08,272170,75,1297330
2013-01-09,272336,75,1297355
2013-01-10,237844,80,1986104
2013-01-11,237654,80,1986364
2013-01-12,237918,80,1986364
2013-01-13,238283,80,1986374
2013-01-14,238664,80,1986374
2013-01-16,239148,80,1986384
2013-01-17,239483,80,1986394
2013-01-18,239733,80,1986394
2013-01-19,237932,80,1994365
2013-01-20,238442,80,1994375
2013-01-21,238838,80,1994375
2013-01-22,206379,80,1994388
2013-01-23,206842,80,1994413
2013-01-24,207288,80,1994413
2013-01-25,207702,80,1994423
2013-01-26,208139,80,1994448
2013-01-27,208678,80,1994458
2013-01-28,209018,80,1994468
2013-01-30,209004,80,1994468
2013-01-31,199317,80,2037428
2013-02-01,199692,80,2037428
2013-02-02,200071,80,2037438
2013-02-03,200391,80,2040708
2013-02-04,200865,80,2040718
2013-02-05,201260,80,2040728
2013-02-06,201535,80,2040738
2013-02-07,201883,80,2040738
2013-02-08,202193,80,2040738
2013-02-09,202580,80,2040763
2013-02-10,203139,80,2040763
2013-02-11,203660,80,2040773
2013-02-12,204039,80,2040773
2013-02-13,204039,80,2040773
2013-02-14,204039,80,2040773
2013-02-15,204039,80,2040773
2013-02-16,204039,80,2040773
2013-02-17,204039,80,2040773
2013-02-18,208788,80,2040803
2013-02-19,197500,80,2040813
2013-02-20,198470,80,2040813
2013-02-21,200245,80,2040823
2013-02-22,203607,80,2040823
2013-02-23,204040,80,2040833
2013-02-24,206799,80,2040833
2013-02-25,209419,80,2040833
2013-02-26,209930,80,2040833
2013-02-27,211056,80,2040833
2013-03-01,214277,80,2040833
2013-03-02,215917,80,2040891
2013-03-03,217902,80,2040901
2013-03-04,219407,80,2040914
2013-03-05,217824,80,2040914
2013-03-06,219135,80,2040924
2013-03-07,220223,80,2040924
2013-03-08,221188,80,2040949
2013-03-09,222247,80,2040959
2013-03-10,223588,80,2040969
2013-03-11,224770,80,2040979
2013-03-13,226539,80,2040999
2013-03-14,227232,80,2041019
2013-03-15,227834,80,2041029
2013-03-16,228474,80,2041039
2013-03-17,229425,80,2041049
2013-03-18,230215,80,2041049
2013-03-19,230802,80,2041059
2013-03-20,231364,80,2041079
2013-03-21,228669,80,2084926
2013-03-22,229206,80,2084926
2013-03-23,229744,80,2084926
2013-03-24,230405,80,2084926
2013-03-25,231231,80,2084926
2013-03-26,231735,80,2084936
2013-03-27,232302,80,2084946
2013-03-28,232811,80,2084946
2013-03-29,233311,80,2084956
2013-03-31,234472,80,2084970
2013-04-01,235113,80,2084970
2013-04-02,235529,80,2084970
2013-04-03,235855,80,2085360
2013-04-04,235969,80,2085370
2013-04-05,235696,80,2091430
2013-04-06,234459,80,2112431
2013-04-07,234695,80,2112441
2013-04-08,235030,80,2112441
2013-04-09,235249,80,2112441
2013-04-10,235460,80,2112441
2013-04-11,216997,80,2112441
2013-04-12,217261,80,2112441
2013-04-13,217596,80,2112441
2013-04-14,218059,80,2112441
2013-04-15,218542,80,2112441
2013-04-16,218862,80,2112441
2013-04-18,219218,80,2112451
2013-04-19,215867,80,2112451
2013-04-20,216140,80,2112451
2013-04-21,216466,80,2112451
2013-04-24,214624,80,2112451
2013-04-25,214790,80,2112451
2013-04-26,214154,80,2112451
2013-04-30,215581,80,2112609
2013-05-01,215784,80,2112609
2013-05-02,216010,80,2112609
2013-05-03,216132,80,2112609
2013-05-04,216324,80,2112609
2013-05-05,216659,80,2112609
2013-05-06,216870,80,2112609
2013-05-07,216893,80,2112609
2013-05-08,216974,80,2112609
2013-05-09,217042,80,2112609
2013-05-12,217609,80,2112619
2013-05-13,217851,80,2112619
2013-05-14,217979,80,2112619
2013-05-15,218112,80,2112619
2013-05-18,218356,80,2112632
2013-05-19,218673,80,2112632
2013-05-20,218981,80,2112632
2013-05-21,219223,80,2112632
2013-05-24,219909,80,2112632
2013-05-25,219909,80,2112632
2013-05-26,219909,80,2112632
2013-05-27,206066,80,2112632
2013-05-28,206401,80,2112632
2013-05-29,204958,80,2112632
2013-05-30,205209,80,2112632
2013-05-31,205434,80,2112632
2013-06-01,205724,80,2112632
2013-06-02,206071,80,2112632
2013-06-04,206680,80,2112632
2013-06-05,206941,80,2112632
2013-06-06,207109,80,2112632
2013-06-07,207337,80,2112632
2013-06-08,207639,80,2112632
2013-06-11,208806,80,2112632
2013-06-12,203396,80,2112632
2013-06-13,203311,80,2112632
2013-06-14,203646,80,2112632
2013-06-15,203549,80,2112632
2013-06-16,203929,80,2112632
2013-06-17,204384,80,2112632
2013-06-18,204777,80,2112632
2013-06-19,202975,80,2112632
2013-06-20,202704,80,2112632
2013-06-21,202907,80,2112632
2013-06-22,203078,80,2112632
2013-06-23,202741,80,2112632
2013-06-24,203358,80,2112632
2013-06-25,203958,80,2112632
2013-06-26,203868,80,2112632
2013-06-29,203668,80,2112632
2013-06-30,204635,80,2112632
2013-07-01,205131,80,2112632
2013-07-05,200846,80,2112632
2013-07-06,201167,80,2112632
2013-07-07,201560,80,2112632
2013-07-08,201912,80,2112632
2013-07-11,202811,80,2112632
2013-07-12,203194,80,2112632
2013-07-13,203545,80,2112632
2013-07-14,203832,80,2112632
2013-07-17,204691,80,2112632
2013-07-18,204938,80,2112632
2013-07-19,205132,80,2112632
2013-07-20,203844,80,2112632
2013-07-23,198527,80,2112632
2013-07-24,198629,80,2112632
2013-07-25,198587,80,2112632
2013-07-29,199270,80,2112632
2013-07-30,199531,80,2112632
2013-07-31,199850,80,2112632
2013-08-01,197412,80,2112632
2013-08-02,197374,80,2112632
2013-08-03,197564,80,2112632
2013-08-04,197744,80,2112632
2013-08-05,197929,80,2112632
2013-08-06,197657,80,2112632
2013-08-07,197862,80,2112632
2013-08-08,197824,80,2112632
2013-08-09,194839,80,2112632
2013-08-10,194537,80,2112632
2013-08-11,194597,80,2112632
2013-08-12,194749,80,2112632
2013-08-13,194855,80,2112632
2013-08-16,194874,80,2112632
2013-08-17,192365,80,2112632
2013-08-18,192368,80,2112632
2013-08-20,192479,80,2112632
2013-08-21,189085,80,2157639
2013-08-22,188780,80,2157639
2013-08-23,187638,80,2157639
2013-08-24,187776,80,2157639
2013-08-25,187896,80,2157639
2013-08-26,187928,80,2157639
2013-08-27,187840,80,2157639
2013-08-28,187799,80,2157639
2013-08-29,185108,80,2157639
2013-08-30,185019,80,2157639
2013-08-31,184926,80,2157639
2013-09-02,185231,80,2157639
2013-09-03,185380,80,2157639
2013-09-04,183431,80,2157639
2013-09-05,183384,80,2157639
2013-09-06,183075,80,2157639
2013-09-09,181728,80,2157639
2013-09-10,181474,80,2157639
