date,rank,level,xp
2013-01-04,54931,96,10055351
2013-01-05,54595,96,10081111
2013-01-06,54588,96,10091261
2013-01-07,54366,96,10111561
2013-01-08,54267,96,10127171
2013-01-09,54099,96,10147471
2013-01-10,54141,96,10147471
2013-01-11,54107,96,10158058
2013-01-12,54171,96,10158058
2013-01-13,54226,96,10158058
2013-01-14,54178,96,10172408
2013-01-16,54295,96,10172408
2013-01-17,54408,96,10172408
2013-01-18,54474,96,10172408
2013-01-19,54571,96,10172408
2013-01-20,54672,96,10172408
2013-01-21,54664,96,10182558
2013-01-22,49737,96,10208139
2013-01-23,49854,96,10208139
2013-01-24,49948,96,10208139
2013-01-25,49979,96,10219899
2013-01-26,50109,96,10219899
2013-01-27,50239,96,10219899
2013-01-28,50312,96,10219899
2013-01-30,50313,96,10219899
2013-01-31,49345,96,10261861
2013-02-01,49443,96,10261861
2013-02-02,49553,96,10261861
2013-02-03,49663,96,10267032
2013-02-04,49575,96,10294272
2013-02-05,49673,96,10294272
2013-02-06,49484,96,10344722
2013-02-07,49573,96,10344722
2013-02-08,49649,96,10345022
2013-02-09,49750,96,10345022
2013-02-10,49863,96,10345022
2013-02-11,49982,96,10345022
2013-02-12,49856,96,10385871
2013-02-13,49856,96,10385871
2013-02-14,49856,96,10385871
2013-02-15,49856,96,10385871
2013-02-16,49856,96,10385871
2013-02-17,49856,96,10385871
2013-02-18,50597,96,10447269
2013-02-19,49206,96,10453149
2013-02-20,49434,96,10453220
2013-02-21,49847,96,10453220
2013-02-22,50559,96,10453220
2013-02-23,50720,96,10453220
2013-02-24,51124,96,10453220
2013-02-25,51510,96,10453220
2013-02-26,51523,96,10481223
2013-02-27,51710,96,10481223
2013-03-01,52177,96,10491373
2013-03-02,52394,96,10501523
2013-03-03,52634,96,10501523
2013-03-04,52839,96,10501523
2013-03-05,52657,96,10501530
2013-03-06,52905,96,10501533
2013-03-07,53014,96,10513713
2013-03-08,53195,96,10513753
2013-03-09,53320,96,10513753
2013-03-10,53468,96,10517966
2013-03-11,53350,96,10578874
2013-03-13,53516,96,10589024
