date,rank,level,xp
2013-01-04,129564,73,998449
2013-01-05,129334,73,998449
2013-01-06,129611,73,998449
2013-01-07,128418,73,1012153
2013-01-08,128530,73,1012153
2013-01-09,128668,73,1012379
2013-01-10,128788,73,1012379
2013-01-11,128904,73,1012379
2013-01-12,129064,73,1012605
2013-01-13,129285,73,1012605
2013-01-14,127291,73,1040605
2013-01-16,127591,73,1040605
2013-01-17,127799,73,1040605
2013-01-18,127981,73,1040605
2013-01-19,128208,73,1040831
2013-01-20,128464,73,1040961
2013-01-21,128740,73,1040961
2013-01-22,111929,73,1073136
2013-01-23,112171,73,1073842
2013-01-24,112426,73,1073842
2013-01-25,112668,73,1073842
2013-01-26,112892,73,1074068
2013-01-27,113167,73,1074068
2013-01-28,113313,73,1074068
2013-01-30,113309,73,1074068
2013-01-31,106100,74,1156072
2013-02-01,106350,74,1156072
2013-02-02,106546,74,1156072
2013-02-03,106908,74,1156072
2013-02-04,104525,75,1212192
2013-02-05,104728,75,1212192
2013-02-06,104885,75,1212192
2013-02-07,105076,75,1212192
2013-02-08,105247,75,1212192
2013-02-09,105419,75,1212192
2013-02-10,105686,75,1212192
2013-02-11,105914,75,1212418
2013-02-12,106056,75,1212418
2013-02-13,106056,75,1212418
2013-02-14,106056,75,1212418
2013-02-15,106056,75,1212418
2013-02-16,106056,75,1212418
2013-02-17,106056,75,1212418
2013-02-18,108247,75,1212418
2013-02-19,103615,75,1212418
2013-02-20,104114,75,1212418
2013-02-21,104963,75,1212418
2013-02-22,106614,75,1212418
2013-02-23,106990,75,1212418
2013-02-24,108134,75,1212418
2013-02-25,109201,75,1212418
2013-02-26,109446,75,1212418
2013-02-27,109457,75,1212418
2013-03-01,110710,75,1212418
2013-03-02,111380,75,1212418
2013-03-03,112200,75,1212418
2013-03-04,112807,75,1212418
2013-03-05,112211,75,1212418
2013-03-06,111603,75,1225851
2013-03-07,112029,75,1226205
2013-03-08,112438,75,1226335
2013-03-09,112832,75,1226335
2013-03-10,113346,75,1226335
2013-03-11,113838,75,1226335
2013-03-13,111375,75,1277547
2013-03-14,110437,75,1300347
2013-03-15,110149,75,1312797
2013-03-16,109928,75,1325151
2013-03-17,109911,76,1336913
2013-03-18,107629,76,1381829
2013-03-19,106343,76,1415396
2013-03-20,102781,77,1514853
2013-03-21,102236,77,1535068
2013-03-22,102479,77,1535068
2013-03-23,102401,77,1542058
2013-03-24,102636,77,1542058
2013-03-25,102933,77,1542058
2013-03-26,103065,77,1544522
2013-03-27,102409,77,1569162
2013-03-28,101796,77,1595463
2013-03-29,101805,77,1603176
2013-03-31,101724,77,1627816
2013-04-01,101676,78,1633498
2013-04-02,101148,78,1652218
2013-04-03,101274,78,1652339
2013-04-04,99461,78,1710013
2013-04-05,98441,78,1749906
2013-04-06,98249,78,1761626
2013-04-07,98384,78,1761626
2013-04-08,98499,78,1761947
2013-04-09,98628,78,1761947
2013-04-10,98780,78,1761947
2013-04-11,91861,79,1815647
2013-04-12,91994,79,1815872
2013-04-13,92143,79,1815872
2013-04-14,92304,79,1816097
2013-04-15,92483,79,1816097
2013-04-16,92647,79,1816097
2013-04-18,92425,79,1831291
2013-04-19,91417,79,1831291
2013-04-20,91533,79,1831291
2013-04-21,91658,79,1831291
2013-04-24,90657,79,1854045
2013-04-25,90807,79,1854045
2013-04-26,90681,79,1854045
2013-04-30,91313,79,1854334
2013-05-01,90121,79,1929384
2013-05-02,89340,80,1986806
2013-05-03,89407,80,1986806
2013-05-04,89519,80,1986806
2013-05-05,89659,80,1986806
2013-05-06,87689,80,2011973
2013-05-07,87788,80,2012038
2013-05-08,87859,80,2012038
2013-05-09,87940,80,2012038
2013-05-12,88208,80,2012038
2013-05-13,88304,80,2012038
2013-05-14,86178,80,2052913
2013-05-15,86222,80,2052913
2013-05-18,86356,80,2052913
2013-05-19,86447,80,2052913
2013-05-20,86564,80,2052913
2013-05-21,86656,80,2052913
2013-05-24,86983,80,2052913
2013-05-25,86983,80,2052913
2013-05-26,86983,80,2052913
2013-05-27,83215,80,2052913
2013-05-28,83337,80,2052913
2013-05-29,82975,80,2052913
2013-05-30,82414,80,2068834
2013-05-31,82549,80,2068834
2013-06-01,82655,80,2068834
2013-06-02,82809,80,2068834
2013-06-04,83048,80,2068834
2013-06-05,83155,80,2068834
2013-06-06,83213,80,2068834
2013-06-07,82817,80,2080775
2013-06-08,82939,80,2080775
2013-06-11,83371,80,2080775
2013-06-12,81848,80,2080775
2013-06-13,81885,80,2080775
2013-06-14,82050,80,2080775
2013-06-15,82001,80,2080775
2013-06-16,82139,80,2080775
2013-06-17,82309,80,2080775
2013-06-18,82433,80,2080775
2013-06-19,81950,80,2080775
2013-06-20,81694,80,2080775
2013-06-21,81792,80,2080775
2013-06-22,81817,80,2080775
2013-06-23,81702,80,2080775
2013-06-24,81932,80,2080775
2013-06-25,82218,80,2080775
2013-06-26,82154,80,2080775
2013-06-29,82062,80,2080775
2013-06-30,82453,80,2080775
2013-07-01,82646,80,2080775
2013-07-05,81583,80,2080775
2013-07-06,81749,80,2080775
2013-07-07,81859,80,2080775
2013-07-08,81854,80,2080775
2013-07-11,82091,80,2080775
2013-07-12,82220,80,2080775
2013-07-13,82330,80,2080775
2013-07-14,82428,80,2080775
2013-07-17,82763,80,2080775
2013-07-18,82878,80,2080775
2013-07-19,82942,80,2080775
2013-07-20,82350,80,2080775
2013-07-23,80776,80,2080775
2013-07-24,80768,80,2080775
2013-07-25,80715,80,2080775
2013-07-29,80878,80,2080775
2013-07-30,80463,80,2092716
2013-07-31,80536,80,2092716
2013-08-01,79803,80,2092716
2013-08-02,79791,80,2092716
2013-08-03,79864,80,2092716
2013-08-04,79916,80,2092716
2013-08-05,79958,80,2092716
2013-08-06,79860,80,2092716
2013-08-07,79906,80,2092716
2013-08-08,79916,80,2092716
2013-08-09,78971,80,2092716
2013-08-10,78906,80,2092716
2013-08-11,78952,80,2092716
2013-08-12,79023,80,2092716
2013-08-13,79069,80,2092716
2013-08-16,78765,80,2100677
2013-08-17,77972,80,2100677
2013-08-18,77970,80,2100677
2013-08-20,77955,80,2100677
2013-08-21,76465,80,2148677
