date,rank,level,xp
2013-01-04,148352,95,8893575
2013-01-05,147696,95,8930829
2013-01-06,144846,95,9127205
2013-01-07,143184,95,9256095
2013-01-08,143321,95,9256747
2013-01-09,143463,95,9259163
2013-01-10,143457,95,9266437
2013-01-11,143460,95,9276214
2013-01-12,143574,95,9276876
2013-01-13,143743,95,9285249
2013-01-14,143943,95,9290078
2013-01-16,143990,95,9316291
2013-01-17,143283,95,9402973
2013-01-18,142884,95,9459288
2013-01-19,141972,95,9579629
2013-01-20,142049,95,9618035
2013-01-21,142036,95,9657242
2013-01-22,119823,96,9806283
2013-01-23,120089,96,9814668
2013-01-24,120399,96,9815323
2013-01-25,120684,96,9816083
2013-01-26,120905,96,9831570
2013-01-27,121268,96,9832034
2013-01-28,121472,96,9832867
2013-01-30,121464,96,9832867
2013-01-31,118403,96,9835506
2013-02-01,118693,96,9835506
2013-02-02,118980,96,9835843
2013-02-03,119190,96,9859371
2013-02-04,119558,96,9860328
2013-02-05,119473,96,9903192
2013-02-06,118086,96,10113088
2013-02-07,116454,96,10394534
2013-02-08,115632,96,10577736
2013-02-09,114557,97,10821504
2013-02-10,113982,97,11001456
2013-02-11,111409,97,11679188
2013-02-12,111643,97,11682430
2013-02-13,111643,97,11682430
2013-02-14,111643,97,11682430
2013-02-15,111643,97,11682430
2013-02-16,111643,97,11682430
2013-02-17,111643,97,11682430
2013-02-18,114814,97,11728784
2013-02-19,108288,98,11894362
2013-02-20,109004,98,11897454
2013-02-21,110339,98,11900728
2013-02-22,112847,98,11903925
2013-02-23,113576,98,11907102
2013-02-24,115258,98,11909862
2013-02-25,116743,98,11911230
2013-02-26,117198,98,11912648
2013-02-27,117800,98,11915407
2013-03-01,119559,98,11920847
2013-03-02,119770,98,12120954
2013-03-03,116786,99,13036202
2013-03-04,116746,99,13039555
2013-03-05,110021,99,13073260
2013-03-06,110116,99,13077256
2013-03-07,110375,99,13079168
2013-03-08,109938,99,13086205
2013-03-09,110038,99,13089051
2013-03-10,109939,99,13094893
2013-03-11,109240,99,13105194
2013-03-13,109259,99,13111626
2013-03-14,108981,99,13116270
2013-03-15,108148,99,13126567
2013-03-16,107629,99,13134497
2013-03-17,107299,99,13141512
2013-03-18,106681,99,13151682
2013-03-19,105931,99,13162074
2013-03-20,105815,99,13166013
2013-03-21,105696,99,13170711
2013-03-22,105732,99,13172756
2013-03-23,105878,99,13173010
2013-03-24,106135,99,13173010
2013-03-25,106411,99,13173089
2013-03-26,106585,99,13173968
2013-03-27,106708,99,13175233
2013-03-28,101189,99,13246453
2013-03-29,101238,99,13248655
2013-03-31,101041,99,13257421
2013-04-01,100855,99,13264709
2013-04-02,90489,99,13446030
2013-04-03,84488,99,13585874
2013-04-04,83402,99,13615633
2013-04-05,83420,99,13615798
2013-04-06,83268,99,13620909
2013-04-07,83392,99,13621467
2013-04-08,83522,99,13621884
2013-04-09,83631,99,13621884
2013-04-10,83773,99,13621884
2013-04-11,78527,99,13630783
2013-04-12,76400,99,13699379
2013-04-13,76236,99,13708779
2013-04-14,76424,99,13710012
2013-04-15,76352,99,13717717
2013-04-16,76502,99,13717801
2013-04-18,76719,99,13719551
2013-04-19,75928,99,13719796
2013-04-20,75463,99,13739208
2013-04-21,75598,99,13739278
2013-04-24,75347,99,13743608
2013-04-25,75429,99,13743608
2013-04-26,75341,99,13743608
2013-04-30,75250,99,13770410
2013-05-01,72228,99,13883361
2013-05-02,72334,99,13883361
2013-05-03,72255,99,13887717
2013-05-04,72336,99,13887717
2013-05-05,72425,99,13889454
2013-05-06,70332,99,13977864
2013-05-07,70315,99,13981967
2013-05-08,70333,99,13983601
2013-05-09,70229,99,13990838
2013-05-12,67375,99,14133252
2013-05-13,66577,99,14176301
2013-05-14,66641,99,14176320
2013-05-15,66685,99,14176355
2013-05-18,66774,99,14176355
2013-05-19,66905,99,14176355
2013-05-20,66979,99,14176390
2013-05-21,67016,99,14176390
2013-05-24,67308,99,14176425
2013-05-25,67308,99,14176425
2013-05-26,67308,99,14176425
2013-05-27,64553,99,14176425
2013-05-28,64653,99,14176425
2013-05-29,64408,99,14176425
2013-05-30,64475,99,14176425
2013-05-31,64600,99,14176425
2013-06-01,64711,99,14176425
2013-06-02,64825,99,14176425
2013-06-04,65087,99,14176425
2013-06-05,65145,99,14176425
2013-06-06,65185,99,14176425
2013-06-07,65252,99,14176425
2013-06-08,65361,99,14176425
2013-06-11,65732,99,14176425
2013-06-12,64605,99,14176425
2013-06-13,64648,99,14176425
2013-06-14,64713,99,14176425
2013-06-15,64640,99,14176425
2013-06-16,64741,99,14176425
2013-06-17,64859,99,14176425
2013-06-18,65014,99,14176425
2013-06-19,64629,99,14176425
2013-06-20,64315,99,14176425
2013-06-21,64370,99,14176425
2013-06-22,64415,99,14176425
2013-06-23,64305,99,14176425
2013-06-24,64475,99,14176425
2013-06-25,64641,99,14176425
2013-06-26,64628,99,14176425
2013-06-29,64621,99,14176425
2013-06-30,64865,99,14176425
2013-07-01,64998,99,14176425
2013-07-05,64188,99,14176425
2013-07-06,64182,99,14176425
2013-07-07,64323,99,14176425
2013-07-08,64382,99,14176425
2013-07-11,64592,99,14176425
2013-07-12,64707,99,14176425
2013-07-13,64818,99,14176425
2013-07-14,64942,99,14176425
2013-07-17,65143,99,14176543
2013-07-18,65211,99,14176543
2013-07-19,65300,99,14176543
2013-07-20,64877,99,14176543
2013-07-23,63559,99,14176543
2013-07-24,63605,99,14176543
2013-07-25,63586,99,14176543
2013-07-29,63708,99,14176543
2013-07-30,63780,99,14176578
2013-07-31,63854,99,14176578
2013-08-01,63272,99,14176578
2013-08-02,63244,99,14176578
2013-08-03,63322,99,14176578
2013-08-04,63368,99,14176578
2013-08-05,63427,99,14176578
2013-08-06,63372,99,14176578
2013-08-07,63418,99,14176578
2013-08-08,63430,99,14176578
2013-08-09,62699,99,14176578
2013-08-10,62599,99,14176578
2013-08-11,62652,99,14176578
2013-08-12,62701,99,14176578
2013-08-13,62740,99,14176578
2013-08-16,62776,99,14176828
2013-08-17,62192,99,14176828
2013-08-18,62187,99,14176828
2013-08-20,62223,99,14176847
2013-08-21,61685,99,14185595
2013-08-22,61609,99,14185595
2013-08-23,61179,99,14185595
2013-08-24,61205,99,14185595
2013-08-25,61240,99,14185595
2013-08-26,61238,99,14185595
2013-08-27,61215,99,14185595
2013-08-28,61203,99,14185595
2013-08-29,60505,99,14185595
2013-08-30,60491,99,14185630
2013-08-31,60489,99,14185630
2013-09-02,60582,99,14185630
2013-09-03,60628,99,14185630
2013-09-04,60164,99,14185630
2013-09-05,60086,99,14185630
2013-09-06,59988,99,14185630
2013-09-09,59638,99,14185630
2013-09-10,59561,99,14185630
2013-09-11,59553,99,14185630
2013-09-12,59555,99,14185630
2013-09-13,59557,99,14185630
2013-09-14,59558,99,14185630
2013-09-15,59542,99,14185630
2013-09-16,59562,99,14185630
2013-09-17,58768,99,14185630
2013-09-18,58755,99,14185630
2013-09-21,58633,99,14185630
2013-09-22,58650,99,14185630
2013-09-23,58656,99,14185630
2013-09-25,58550,99,14185630
2013-09-26,58761,99,14185630
2013-09-27,58921,99,14185665
2013-09-28,58322,99,14185665
2013-09-29,58477,99,14185665
2013-09-30,58595,99,14185665
2013-10-02,58740,99,14185665
2013-10-03,58810,99,14185665
2013-10-04,58876,99,14185665
2013-10-05,58521,99,14185665
2013-10-06,58532,99,14185665
2013-10-07,58597,99,14185665
2013-10-08,58627,99,14185665
2013-10-09,58647,99,14185665
2013-10-10,58705,99,14185665
2013-10-11,58730,99,14185665
2013-10-12,58783,99,14185665
2013-10-15,58947,99,14185665
2013-10-16,59022,99,14185665
2013-10-17,59108,99,14185665
2013-10-18,59202,99,14185665
2013-10-20,59409,99,14185982
2013-10-21,59554,99,14185982
2013-10-22,59621,99,14185982
2013-10-23,58719,99,14185982
2013-10-24,58798,99,14185982
2013-10-27,58994,99,14185982
2013-10-28,59092,99,14185982
2013-10-29,59198,99,14185982
2013-10-30,58860,99,14185982
2013-11-02,58911,99,14185982
2013-11-03,59026,99,14185982
2013-11-04,59086,99,14186637
2013-11-07,59231,99,14186637
2013-11-08,59221,99,14186637
2013-11-09,59283,99,14186637
2013-11-10,59350,99,14186637
2013-11-11,59448,99,14186637
2013-11-14,58797,99,14186637
2013-11-15,58835,99,14186637
2013-11-16,58903,99,14186637
2013-11-17,59040,99,14186637
2013-11-20,59239,99,14186637
2013-11-21,59281,99,14186637
2013-11-22,59329,99,14186637
2013-11-26,59554,99,14187151
2013-11-27,58899,99,14187151
2013-11-28,58971,99,14187151
2013-11-29,59040,99,14187151
2013-12-02,59315,99,14187151
2013-12-03,59358,99,14187151
2013-12-04,59416,99,14187151
2013-12-05,59443,99,14187151
2013-12-08,59594,99,14187151
2013-12-09,59730,99,14187151
2013-12-10,59772,99,14187151
2013-12-11,59836,99,14187151
2013-12-13,59166,99,14187151
2013-12-14,59254,99,14187151
2013-12-15,59398,99,14187151
2013-12-16,59509,99,14187151
2013-12-17,59579,99,14187151
2013-12-20,59918,99,14187151
2013-12-21,59208,99,14246929
2013-12-22,59357,99,14247050
2013-12-23,59350,99,14258205
2013-12-26,59235,99,14299068
2013-12-27,59303,99,14299068
2013-12-29,59553,99,14299466
2014-01-01,59885,99,14300126
2014-01-02,60003,99,14300456
2014-01-03,60113,99,14300456
2014-01-05,60322,99,14300456
2014-01-07,60494,99,14300456
2014-01-08,60542,99,14300456
2014-01-09,60619,99,14300456
2014-01-10,60689,99,14300456
2014-01-12,60867,99,14300456
2014-01-13,61001,99,14300456
2014-01-14,61064,99,14300456
2014-01-15,61110,99,14300456
2014-01-16,61177,99,14300456
2014-01-17,60009,99,14300456
2014-01-18,60083,99,14300456
2014-01-19,60185,99,14300456
2014-01-20,60326,99,14300456
2014-01-21,60388,99,14300456
2014-01-22,60452,99,14300456
2014-01-25,60641,99,14300456
2014-01-26,60748,99,14300456
2014-01-27,60838,99,14301846
2014-01-31,60236,99,14301846
2014-02-01,60621,99,14301846
2014-02-02,60893,99,14301846
2014-02-03,61122,99,14301846
2014-02-06,61173,99,14301846
2014-02-07,61271,99,14301846
2014-02-08,61386,99,14301846
2014-02-09,61489,99,14301846
2014-02-10,61654,99,14301846
2014-02-11,61748,99,14301846
2014-02-12,61887,99,14301846
2014-02-13,61972,99,14301846
2014-02-14,62073,99,14301846
2014-02-15,62242,99,14301846
2014-02-16,62428,99,14301846
2014-02-17,62566,99,14301846
2014-02-18,62692,99,14301846
2014-02-19,61801,99,14301846
2014-02-20,61910,99,14301846
2014-02-21,62063,99,14301846
2014-02-22,62295,99,14301846
2014-02-23,62546,99,14301846
2014-02-24,62703,99,14301846
2014-02-25,62812,99,14301846
2014-02-26,62931,99,14301846
2014-02-27,63035,99,14301846
2014-02-28,63119,99,14301846
2014-03-01,63217,99,14301846
2014-03-02,63358,99,14302202
2014-03-03,63516,99,14302202
2014-03-04,63629,99,14302202
2014-03-05,63613,99,14302202
2014-03-06,63688,99,14302202
2014-03-07,63748,99,14302202
2014-03-08,63808,99,14302202
2014-03-09,63936,99,14302202
2014-03-10,64061,99,14302202
2014-03-11,64217,99,14302202
2014-03-12,64320,99,14302202
2014-03-13,63207,99,14302202
2014-03-14,63312,99,14302202
2014-03-15,62041,99,14392202
2014-03-16,62184,99,14392202
2014-03-17,62299,99,14392202
2014-03-19,62034,99,14392202
2014-03-20,62030,99,14392202
2014-03-21,62114,99,14392202
2014-03-22,62147,99,14392202
2014-03-23,62268,99,14392202
2014-03-24,62414,99,14392202
2014-03-25,61941,99,14392202
2014-03-26,62016,99,14392202
2014-03-27,62103,99,14392202
2014-03-28,61939,99,14392202
2014-03-29,61849,99,14392202
2014-03-30,62005,99,14392202
2014-03-31,62097,99,14395170
2014-04-01,63109,99,14395170
2014-04-02,63753,99,14395170
2014-04-03,64268,99,14395170
2014-04-04,64793,99,14395170
2014-04-07,65293,99,14395170
2014-04-08,65293,99,14395170
2014-04-09,67410,99,14395170
2014-04-10,67764,99,14395170
2014-04-13,68563,99,14395170
2014-04-14,69530,99,14395170
2014-04-15,69908,99,14395170
2014-04-19,71442,99,14395170
2014-04-20,71799,99,14395170
2014-04-21,72187,99,14395170
2014-04-22,72560,99,14395170
2014-04-25,73414,99,14395170
2014-04-26,73582,99,14395170
2014-04-27,73953,99,14395170
2014-05-01,75023,99,14395170
2014-05-02,75292,99,14395170
2014-05-03,75617,99,14395170
2014-05-04,76003,99,14395170
2014-05-05,76337,99,14395170
2014-05-06,76677,99,14395170
2014-05-07,76920,99,14395170
2014-05-08,77258,99,14395170
2014-05-09,77461,99,14395170
2014-05-10,77738,99,14395170
2014-05-11,78039,99,14395500
2014-05-12,78333,99,14395500
2014-05-13,78569,99,14395500
2014-05-14,78667,99,14395500
2014-05-15,78882,99,14395500
2014-05-16,79062,99,14395500
2014-05-17,79305,99,14395500
2014-05-18,79631,99,14395500
2014-05-19,79920,99,14395500
2014-05-20,80119,99,14395500
2014-05-21,80398,99,14395500
2014-05-22,80621,99,14395500
2014-05-23,80868,99,14395500
2014-05-24,81085,99,14395500
2014-05-25,81297,99,14395500
2014-05-26,81581,99,14395500
2014-05-27,81828,99,14395500
2014-05-28,82107,99,14395500
2014-05-29,82375,99,14395500
2014-05-30,82548,99,14395500
2014-05-31,82807,99,14395500
2014-06-01,83088,99,14395500
2014-06-02,83345,99,14395500
2014-06-03,83525,99,14395500
2014-06-05,84001,99,14395500
2014-06-06,84180,99,14395500
2014-06-07,84412,99,14395500
2014-06-08,84647,99,14395846
2014-06-09,84900,99,14395846
2014-06-10,85104,99,14395846
2014-06-12,85483,99,14395846
2014-06-13,85693,99,14395846
2014-06-14,85907,99,14395846
2014-06-15,86082,99,14396192
2014-06-16,86381,99,14396192
2014-06-17,86598,99,14396192
2014-06-18,86870,99,14396192
2014-06-19,87070,99,14396192
2014-06-20,87302,99,14396192
2014-06-21,87503,99,14396192
2014-06-24,88099,99,14396648
2014-06-25,88296,99,14396648
2014-06-26,88512,99,14396648
2014-06-27,88713,99,14396648
2014-06-30,84858,99,14607732
2014-07-01,84452,99,14638952
2014-07-02,84655,99,14638952
2014-07-06,85299,99,14639323
2014-07-07,85504,99,14639323
2014-07-08,85652,99,14639323
2014-07-09,85854,99,14639323
2014-07-10,86032,99,14639323
2014-07-11,86229,99,14639323
2014-07-12,86443,99,14639323
2014-07-13,86585,99,14639323
2014-07-14,86763,99,14639323
2014-07-15,87052,99,14639323
2014-07-18,87798,99,14639829
2014-07-19,82652,99,14921795
2014-07-21,82987,99,14930060
2014-07-24,82601,99,14973367
2014-07-25,82771,99,14973367
2014-07-26,82946,99,14973367
2014-07-27,83124,99,14973367
2014-07-28,83332,99,14973367
2014-07-29,83519,99,14973367
2014-07-30,83678,99,14973367
2014-07-31,83869,99,14973367
2014-08-01,84048,99,14973367
2014-08-02,84219,99,14973367
2014-08-03,84424,99,14973367
2014-08-04,84653,99,14973367
2014-08-05,84680,99,14981662
2014-08-06,84836,99,14981662
2014-08-07,84990,99,14981662
2014-08-09,83237,99,15090934
2014-08-10,83353,99,15092331
2014-08-11,83437,99,15097250
2014-08-12,83311,99,15115337
2014-08-13,83389,99,15119759
2014-08-15,78225,99,15467323
2014-08-16,78368,99,15467653
2014-08-17,,0,0
2014-08-18,,0,0
2014-08-19,78412,99,15492225
2014-08-20,78284,99,15493260
2014-08-21,78025,99,15496786
2014-08-22,77527,99,15505810
2014-08-23,76169,99,15552576
2014-08-24,76055,99,15552576
2014-08-25,75863,99,15552576
2014-08-27,74643,99,15553098
2014-08-28,74719,99,15553748
2014-08-29,74792,99,15554686
2014-08-30,73143,99,15688420
2014-08-31,72885,99,15720205
2014-09-01,71447,99,15839474
2014-09-02,70835,99,15894354
2014-09-03,70864,99,15894837
2014-09-04,70432,99,15938024
2014-09-05,70325,99,15955409
2014-09-06,69069,99,16073524
2014-09-08,68140,99,16175150
2014-09-09,68210,99,16175495
2014-09-10,68175,99,16186744
2014-09-11,67996,99,16210455
2014-09-13,67760,99,16243233
2014-09-14,67345,99,16286341
2014-09-15,67151,99,16309500
2014-09-16,67140,99,16309535
2014-09-18,66919,99,16334031
2014-09-19,66974,99,16334031
2014-09-20,67000,99,16334066
2014-09-21,66369,99,16394683
2014-09-22,65634,99,16471159
2014-09-24,65440,99,16500354
2014-09-25,63594,99,16699824
2014-09-26,63530,99,16710287
2014-09-27,63172,99,16750156
2014-09-28,62577,99,16818348
2014-09-29,60833,99,17019927
2014-09-30,60510,99,17060978
2014-10-01,59998,99,17125966
2014-10-02,59709,99,17163712
2014-10-03,59613,99,17185544
2014-10-04,58306,99,17347250
2014-10-05,57874,99,17415717
2014-10-06,57360,99,17477384
2014-10-07,57249,99,17498928
2014-10-08,56966,99,17538824
2014-10-10,56856,99,17562116
2014-10-11,56654,99,17590819
2014-10-12,55999,99,17682221
2014-10-13,56036,99,17684014
2014-10-14,55993,99,17684154
2014-10-15,56014,99,17686054
2014-10-16,56022,99,17690808
2014-10-17,55729,99,17729943
2014-10-18,55755,99,17731660
2014-10-19,55714,99,17741031
2014-10-20,55770,99,17741171
2014-10-21,55780,99,17741311
2014-10-22,55792,99,17742247
2014-10-23,55841,99,17742392
2014-10-24,55794,99,17751893
2014-10-25,55805,99,17752103
2014-10-26,55717,99,17764483
2014-10-27,55679,99,17771992
2014-10-28,55552,99,17789961
2014-10-29,55496,99,17800793
2014-10-30,55502,99,17803185
2014-11-01,55539,99,17804110
2014-11-02,55619,99,17805540
2014-11-03,55693,99,17814478
2014-11-04,55700,99,17814548
2014-11-05,55719,99,17819024
2014-11-06,55729,99,17825919
2014-11-07,55716,99,17825992
2014-11-08,55608,99,17843202
2014-11-09,55498,99,17865632
2014-11-10,55547,99,17866781
2014-11-11,55544,99,17866929
2014-11-12,55489,99,17877717
2014-11-13,55546,99,17879207
2014-11-14,55528,99,17879207
2014-11-15,55594,99,17879301
2014-11-16,55609,99,17880192
2014-11-17,55673,99,17880332
2014-11-19,55736,99,17880612
2014-11-20,55748,99,17880612
2014-11-21,55814,99,17880614
2014-11-22,55836,99,17880614
2014-11-23,55906,99,17880894
2014-11-24,55962,99,17881174
2014-11-25,55968,99,17883608
2014-11-26,55935,99,17893102
2014-11-27,55968,99,17893102
2014-11-28,55990,99,17893420
2014-11-29,55817,99,17920998
2014-12-02,,0,0
2014-12-03,,0,0
2014-12-04,,0,0
2014-12-05,,0,0
2014-12-06,,0,0
2014-12-08,,0,0
2014-12-09,,0,0
2014-12-10,,0,0
2014-12-11,,0,0
2014-12-12,,0,0
2014-12-13,,0,0
2014-12-14,,0,0
2014-12-15,,0,0
2014-12-16,,0,0
2014-12-17,,0,0
2014-12-19,,0,0
2014-12-20,,0,0
2014-12-21,,0,0
2014-12-22,,0,0
2014-12-23,,0,0
2014-12-24,,0,0
2014-12-25,,0,0
2014-12-26,,0,0
2014-12-27,,0,0
2014-12-28,,0,0
2014-12-29,56418,99,18054044
2014-12-30,56475,99,18054388
2014-12-31,56523,99,18054388
2015-01-01,56554,99,18055425
2015-01-02,56597,99,18058625
2015-01-03,56593,99,18071081
2015-01-04,56592,99,18080909
2015-01-06,56728,99,18083740
2015-01-07,56799,99,18085198
2015-01-08,56835,99,18085198
2015-01-09,56907,99,18085198
2015-01-10,56981,99,18085198
2015-01-11,57043,99,18086285
2015-01-12,57093,99,18087639
2015-01-13,,0,0
2015-01-14,57214,99,18087639
2015-01-15,57271,99,18087639
2015-01-16,57314,99,18087639
2015-01-17,57359,99,18087639
2015-01-19,57498,99,18087639
2015-01-20,57557,99,18087639
2015-01-21,57619,99,18087639
2015-01-22,57665,99,18087639
2015-01-23,57713,99,18087942
2015-01-25,57843,99,18087942
2015-01-26,57882,99,18087942
2015-01-27,57931,99,18087942
2015-01-28,57971,99,18087942
2015-01-30,58080,99,18087942
