date,rank,level,xp
2013-01-04,139544,79,1812653
2013-01-05,139390,79,1812653
2013-01-06,139544,79,1812653
2013-01-07,139685,79,1812653
2013-01-08,139823,79,1812653
2013-01-09,138875,79,1833830
2013-01-10,138891,79,1833830
2013-01-11,138914,79,1833830
2013-01-12,139096,79,1833830
2013-01-13,139223,79,1837623
2013-01-14,139473,79,1837658
2013-01-16,139797,79,1837658
2013-01-17,140014,79,1837658
2013-01-18,140233,79,1837658
2013-01-19,140405,79,1837658
2013-01-20,140588,79,1837658
2013-01-21,140802,79,1837658
2013-01-22,123346,79,1900335
2013-01-23,123633,79,1900335
2013-01-24,123973,79,1900335
2013-01-25,124268,79,1900335
2013-01-26,114743,80,2094691
2013-01-27,115118,80,2094691
2013-01-28,115399,80,2094691
2013-01-30,115426,80,2094691
2013-01-31,113715,80,2094691
2013-02-01,113973,80,2094691
2013-02-02,114233,80,2094691
2013-02-03,114429,80,2097253
2013-02-04,114744,80,2097253
2013-02-05,114967,80,2097253
2013-02-06,115135,80,2097542
2013-02-07,115386,80,2097542
2013-02-08,115580,80,2097542
2013-02-09,115768,80,2097542
2013-02-10,116050,80,2097542
2013-02-11,116332,80,2097542
2013-02-12,116524,80,2097542
2013-02-13,116524,80,2097542
2013-02-14,116524,80,2097542
2013-02-15,116524,80,2097542
2013-02-16,116524,80,2097542
2013-02-17,116524,80,2097542
2013-02-18,118640,80,2097543
2013-02-19,113944,80,2097543
2013-02-20,114301,80,2098217
2013-02-21,115034,80,2098217
2013-02-22,116350,80,2098217
2013-02-23,116364,80,2098217
2013-02-24,116951,80,2098217
2013-02-25,117864,80,2098217
2013-02-26,117664,80,2098217
2013-02-27,117137,80,2098217
2013-03-01,118185,80,2098217
2013-03-02,118725,80,2098217
2013-03-03,119400,80,2098217
2013-03-04,119873,80,2098217
2013-03-05,119019,80,2098217
2013-03-06,119518,80,2098217
2013-03-07,119935,80,2098217
2013-03-08,120069,80,2102197
2013-03-09,120436,80,2102197
2013-03-10,120942,80,2102197
2013-03-11,121357,80,2102197
2013-03-13,121940,80,2102197
2013-03-14,122118,80,2102197
2013-03-15,122282,80,2102197
2013-03-16,122487,80,2102197
2013-03-17,122801,80,2102222
2013-03-18,122523,80,2112518
2013-03-19,121847,80,2128809
2013-03-20,121632,80,2137424
2013-03-21,121396,80,2145606
2013-03-22,121564,80,2145606
2013-03-23,121731,80,2145606
2013-03-24,121939,80,2145606
2013-03-25,122218,80,2145606
2013-03-26,118455,81,2230792
2013-03-27,114843,81,2308780
2013-03-28,114992,81,2308780
2013-03-29,114715,81,2318779
2013-03-31,115097,81,2320004
2013-04-01,112352,81,2401241
2013-04-02,111742,82,2425750
2013-04-03,111877,82,2426000
2013-04-04,111693,82,2430424
2013-04-05,110026,82,2471566
2013-04-06,110142,82,2471566
2013-04-07,105147,82,2620917
2013-04-08,103071,83,2704167
2013-04-09,103192,83,2704167
2013-04-10,103326,83,2704167
2013-04-11,96981,83,2724403
2013-04-12,97103,83,2724403
2013-04-13,97250,83,2724403
2013-04-14,97426,83,2724403
2013-04-15,97559,83,2726178
2013-04-16,97738,83,2726178
2013-04-18,95685,83,2811465
2013-04-19,94814,83,2811465
2013-04-20,93098,83,2896753
2013-04-21,93247,83,2896753
2013-04-24,92768,83,2905798
2013-04-25,92893,83,2905798
2013-04-26,92593,83,2914843
2013-04-30,89692,84,3115479
2013-05-01,86616,85,3290179
2013-05-02,81673,85,3469054
2013-05-03,81806,85,3469054
2013-05-04,81968,85,3469054
2013-05-05,81861,85,3483643
2013-05-06,78189,86,3664246
2013-05-07,78322,86,3664246
2013-05-08,76599,86,3755796
2013-05-09,73600,86,3949196
2013-05-12,71050,87,4137843
2013-05-13,71180,87,4137843
2013-05-14,71260,87,4137843
2013-05-15,71317,87,4137843
2013-05-18,71555,87,4137843
2013-05-19,71705,87,4137843
2013-05-20,71848,87,4137843
2013-05-21,71918,87,4137843
2013-05-24,72258,87,4137843
2013-05-25,72258,87,4137843
2013-05-26,72258,87,4137843
2013-05-27,69619,87,4143219
2013-05-28,69760,87,4143219
2013-05-29,69523,87,4143219
2013-05-30,69604,87,4143219
2013-05-31,69727,87,4143219
2013-06-01,69842,87,4143219
2013-06-02,69932,87,4143219
2013-06-04,70196,87,4143219
2013-06-05,70254,87,4143219
2013-06-06,70322,87,4143219
2013-06-07,70406,87,4143219
2013-06-08,70513,87,4143219
2013-06-11,70894,87,4143219
2013-06-12,69838,87,4143219
2013-06-13,69876,87,4143219
2013-06-14,69991,87,4143219
2013-06-15,69917,87,4143219
2013-06-16,70046,87,4143219
2013-06-17,70149,87,4143219
2013-06-18,70251,87,4143219
2013-06-19,69835,87,4143219
2013-06-20,69482,87,4143219
2013-06-21,69513,87,4143219
2013-06-22,69525,87,4143219
2013-06-23,69389,87,4143219
2013-06-24,69578,87,4143219
2013-06-25,69789,87,4143219
2013-06-26,69710,87,4143219
2013-06-29,69511,87,4143219
2013-06-30,69861,87,4143219
2013-07-01,70032,87,4143219
2013-07-05,69288,87,4143219
2013-07-06,69368,87,4143219
2013-07-07,69468,87,4143219
2013-07-08,69555,87,4143219
2013-07-11,69705,87,4143219
2013-07-12,69795,87,4143219
2013-07-13,69893,87,4143219
2013-07-14,69973,87,4143219
2013-07-17,70191,87,4143219
2013-07-18,70226,87,4143219
2013-07-19,70296,87,4143219
2013-07-20,69832,87,4143219
2013-07-23,68758,87,4143289
2013-07-24,68777,87,4143289
2013-07-25,68790,87,4143289
2013-07-29,68944,87,4143289
2013-07-30,69008,87,4143289
2013-07-31,69068,87,4143289
2013-08-01,68571,87,4143289
2013-08-02,68590,87,4143289
2013-08-03,68668,87,4143289
2013-08-04,68723,87,4143289
2013-08-05,68768,87,4143289
2013-08-06,68698,87,4143289
2013-08-07,68753,87,4143289
2013-08-08,68778,87,4143289
2013-08-09,68153,87,4143289
2013-08-10,68122,87,4143289
2013-08-11,68147,87,4143289
2013-08-12,68212,87,4143289
2013-08-13,68269,87,4143289
2013-08-16,68423,87,4143289
2013-08-17,67934,87,4143289
2013-08-18,67994,87,4143289
2013-08-20,68113,87,4143289
2013-08-21,67840,87,4143589
2013-08-22,67843,87,4143589
2013-08-23,67382,87,4143589
2013-08-24,67473,87,4143589
2013-08-25,67563,87,4143589
2013-08-26,67562,87,4143589
2013-08-27,67602,87,4143589
2013-08-28,67651,87,4143589
2013-08-29,67059,87,4143589
2013-08-30,67075,87,4143589
2013-08-31,67101,87,4143589
2013-09-02,67222,87,4143589
2013-09-03,67321,87,4143589
2013-09-04,66972,87,4143589
2013-09-05,66998,87,4143589
2013-09-06,66942,87,4143589
2013-09-09,66836,87,4143589
2013-09-10,66846,87,4143589
2013-09-11,66876,87,4143589
2013-09-12,66905,87,4143589
2013-09-13,66975,87,4143589
2013-09-14,67009,87,4143589
2013-09-15,67065,87,4143589
2013-09-16,67123,87,4143589
2013-09-17,66448,87,4143589
2013-09-18,66448,87,4143589
2013-09-21,66420,87,4143589
2013-09-22,66463,87,4143589
2013-09-23,66505,87,4143589
2013-09-25,66504,87,4143589
2013-09-26,66724,87,4143589
2013-09-27,66883,87,4143589
2013-09-28,66435,87,4143589
2013-09-29,66621,87,4143589
2013-09-30,66800,87,4143589
2013-10-02,67068,87,4143589
2013-10-03,67228,87,4143589
2013-10-04,67317,87,4143589
2013-10-05,67072,87,4143589
2013-10-06,67183,87,4143589
2013-10-07,67313,87,4143589
2013-10-08,67363,87,4143589
2013-10-09,67431,87,4143589
2013-10-10,67487,87,4143589
2013-10-11,67545,87,4143589
2013-10-12,67616,87,4143589
2013-10-15,67891,87,4143589
2013-10-16,67947,87,4143589
2013-10-17,68036,87,4143589
2013-10-18,68136,87,4143589
2013-10-20,67147,87,4243589
2013-10-21,67272,87,4243589
2013-10-22,67346,87,4243589
2013-10-23,66496,87,4243589
2013-10-24,66545,87,4243589
2013-10-27,66711,87,4243589
2013-10-28,66803,87,4243589
2013-10-29,66873,87,4243589
2013-10-30,66522,87,4243589
2013-11-02,66547,87,4243589
2013-11-03,66614,87,4243589
2013-11-04,66673,87,4243589
2013-11-07,66777,87,4243589
2013-11-08,66778,87,4243589
2013-11-09,66837,87,4243589
2013-11-10,66897,87,4243589
2013-11-11,66978,87,4243589
2013-11-14,66379,87,4243589
2013-11-15,66427,87,4243589
2013-11-16,66479,87,4243589
2013-11-17,66563,87,4243589
2013-11-20,66714,87,4243589
2013-11-21,66749,87,4243589
2013-11-22,66773,87,4243589
2013-11-26,67010,87,4243589
2013-11-27,66442,87,4243674
2013-11-28,66486,87,4243674
2013-11-29,66519,87,4243674
2013-12-02,66746,87,4243674
2013-12-03,66805,87,4243674
2013-12-04,66833,87,4243674
2013-12-05,66863,87,4243674
2013-12-08,67051,87,4243674
2013-12-09,67155,87,4243674
2013-12-10,67163,87,4243674
2013-12-11,67187,87,4243674
2013-12-13,66637,87,4243674
2013-12-14,66683,87,4243674
2013-12-15,66776,87,4243674
2013-12-16,66905,87,4243674
2013-12-17,67012,87,4243674
2013-12-20,67270,87,4243674
2013-12-21,67393,87,4247384
2013-12-22,67420,87,4258135
2013-12-23,67567,87,4258135
2013-12-26,67953,87,4262272
2013-12-27,67990,87,4262272
2013-12-29,68184,87,4262272
2014-01-01,68469,87,4262272
2014-01-02,68615,87,4262272
2014-01-03,68715,87,4262272
2014-01-05,68894,87,4262272
2014-01-07,69096,87,4262272
2014-01-08,69141,87,4262272
2014-01-09,69200,87,4262272
2014-01-10,69248,87,4262272
2014-01-12,69429,87,4262272
2014-01-13,69543,87,4262272
2014-01-14,69624,87,4262272
2014-01-15,69666,87,4262272
2014-01-16,69720,87,4262272
2014-01-17,68663,87,4262272
2014-01-18,68758,87,4262272
2014-01-19,68845,87,4262272
2014-01-20,68940,87,4262272
2014-01-21,68989,87,4262272
2014-01-22,69056,87,4262272
2014-01-25,69170,87,4262272
2014-01-26,69292,87,4262272
2014-01-27,69397,87,4262272
2014-01-31,68817,87,4262272
2014-02-01,69013,87,4262272
2014-02-02,69162,87,4262272
2014-02-03,69286,87,4262272
2014-02-06,69208,87,4262272
2014-02-07,69272,87,4262272
2014-02-08,69358,87,4262272
2014-02-09,69403,87,4262272
2014-02-10,69540,87,4262272
2014-02-11,69599,87,4262272
2014-02-12,69692,87,4262272
2014-02-13,69748,87,4262272
2014-02-14,69870,87,4262272
2014-02-15,69980,87,4262272
2014-02-16,70125,87,4262272
2014-02-17,70269,87,4262272
2014-02-18,70364,87,4262272
2014-02-19,69573,87,4262272
2014-02-20,69674,87,4262272
2014-02-21,69787,87,4262272
2014-02-22,70037,87,4262272
2014-02-23,70253,87,4262272
2014-02-24,70436,87,4262272
2014-02-25,70531,87,4262272
2014-02-26,70591,87,4262272
2014-02-27,70672,87,4262272
2014-02-28,70697,87,4262272
2014-03-01,70759,87,4262272
2014-03-02,70883,87,4262272
2014-03-03,71013,87,4262272
2014-03-04,71121,87,4262272
2014-03-05,71098,87,4262272
2014-03-06,71177,87,4262272
2014-03-07,71212,87,4262272
2014-03-08,71273,87,4262272
2014-03-09,71360,87,4262272
2014-03-10,71435,87,4262272
2014-03-11,71499,87,4262272
2014-03-12,71547,87,4262272
2014-03-13,70421,87,4262272
2014-03-14,70462,87,4262272
2014-03-15,70526,87,4262272
2014-03-16,70665,87,4262272
2014-03-17,70770,87,4262272
2014-03-19,70513,87,4262272
2014-03-20,70513,87,4262272
2014-03-21,70565,87,4262272
2014-03-22,70586,87,4262272
2014-03-23,70682,87,4262272
2014-03-24,70784,87,4262272
2014-03-25,70299,87,4262272
2014-03-26,70346,87,4262272
2014-03-27,70398,87,4262272
2014-03-28,70241,87,4262272
2014-03-29,70145,87,4262272
2014-03-30,70274,87,4262272
2014-03-31,70401,87,4262352
2014-04-01,72146,87,4262352
2014-04-02,72918,87,4262352
2014-04-03,73481,87,4262352
2014-04-04,74017,87,4262352
2014-04-07,74510,87,4262352
2014-04-08,74510,87,4262352
2014-04-09,76704,87,4262352
2014-04-10,77069,87,4262352
2014-04-13,77919,87,4262352
2014-04-14,78923,87,4262352
2014-04-15,79313,87,4262352
2014-04-19,80819,87,4262352
2014-04-20,81208,87,4262352
2014-04-21,81637,87,4262352
2014-04-22,81999,87,4262352
2014-04-25,82891,87,4262352
2014-04-26,83064,87,4262352
2014-04-27,83421,87,4262352
2014-05-01,84434,87,4262352
2014-05-02,84705,87,4262352
2014-05-03,85003,87,4262352
2014-05-04,85358,87,4262352
2014-05-05,85655,87,4262352
2014-05-06,85950,87,4262352
2014-05-07,86164,87,4262352
2014-05-08,86493,87,4262352
2014-05-09,86707,87,4262352
