date,rank,level,xp
2013-01-04,79644,2154,142328307
2013-01-05,79248,2155,142757721
2013-01-06,79031,2156,143520070
2013-01-07,77778,2160,144717828
2013-01-08,77221,2162,145469567
2013-01-09,76625,2164,146156538
2013-01-10,74751,2170,147058408
2013-01-11,74203,2172,147564106
2013-01-12,73968,2173,147731001
2013-01-13,73708,2174,148143697
2013-01-14,73526,2175,148451418
2013-01-16,71788,2181,149989618
2013-01-17,71259,2183,150602101
2013-01-18,71347,2183,150855324
2013-01-19,71490,2183,151486911
2013-01-20,70948,2185,152012034
2013-01-21,70140,2188,152938124
2013-01-22,64018,2191,153866250
2013-01-23,63894,2192,154335234
2013-01-24,63727,2193,154873268
2013-01-25,63601,2194,155264563
2013-01-26,63226,2196,155784013
2013-01-27,63376,2196,155960498
2013-01-28,63460,2196,156168778
2013-01-30,63458,2196,156195782
2013-01-31,62267,2198,156998855
2013-02-01,62388,2198,157007188
2013-02-02,62292,2199,157227440
2013-02-03,61938,2201,158836040
2013-02-04,61524,2203,159492593
2013-02-05,61383,2204,159773949
2013-02-06,61465,2204,160752640
2013-02-07,60834,2207,161652578
2013-02-08,60907,2207,162222192
2013-02-09,60532,2209,162965734
2013-02-10,60677,2209,163477127
2013-02-11,59768,2213,165428186
2013-02-12,59874,2213,165835746
2013-02-13,59874,2213,165835746
2013-02-14,59874,2213,165835746
2013-02-15,59874,2213,165835746
2013-02-16,59874,2213,165835746
2013-02-17,59874,2213,165835746
2013-02-18,59419,2219,168750482
2013-02-19,57669,2220,169364605
2013-02-20,57896,2220,170030698
2013-02-21,57832,2222,171870288
2013-02-22,58444,2222,172050230
2013-02-23,58599,2222,172170890
2013-02-24,59040,2222,172285873
2013-02-25,59138,2223,172388223
2013-02-26,59244,2223,172570297
2013-02-27,59382,2223,172766583
2013-03-01,59603,2224,174861077
2013-03-02,59560,2225,175650112
2013-03-03,59589,2226,176780493
2013-03-04,59274,2228,177049028
2013-03-05,58634,2230,179220772
2013-03-06,58604,2231,180479767
2013-03-07,58763,2231,180689039
2013-03-08,58630,2232,182276445
2013-03-09,58794,2232,182785572
2013-03-10,58193,2235,186718078
2013-03-11,57765,2237,187326978
2013-03-13,57448,2239,188072997
2013-03-14,57558,2239,188557532
2013-03-15,57621,2239,189020477
2013-03-16,57456,2240,189458762
2013-03-17,57011,2242,189957768
2013-03-18,57140,2242,190523403
2013-03-19,56945,2243,191149241
2013-03-20,56769,2244,191371691
2013-03-21,56597,2245,191698552
2013-03-22,56708,2245,191740261
2013-03-23,56804,2245,191775126
2013-03-24,56902,2245,191775126
2013-03-25,57048,2245,191847309
2013-03-26,56594,2247,192190731
2013-03-27,56695,2247,192608178
2013-03-28,56511,2248,193100299
2013-03-29,56099,2250,193412160
2013-03-31,55766,2252,196163657
2013-04-01,55121,2255,196769413
2013-04-02,54462,2258,198952214
2013-04-03,53221,2263,201311672
2013-04-04,52759,2265,202759078
2013-04-05,52807,2265,203332898
2013-04-06,52623,2266,204208964
2013-04-07,52722,2266,204896048
2013-04-08,52558,2267,205070058
2013-04-09,52382,2268,205265841
2013-04-10,52465,2268,205265841
2013-04-11,50494,2269,205381644
2013-04-12,50572,2269,205611345
2013-04-13,50171,2271,206244871
2013-04-14,50051,2272,207107983
2013-04-15,50143,2272,207368297
2013-04-16,49744,2274,208136610
2013-04-18,49144,2277,209250165
2013-04-19,48422,2279,209973552
2013-04-20,48246,2280,210683574
