date,rank,level,xp
2013-01-04,70287,95,9048566
2013-01-05,70347,95,9048575
2013-01-06,70482,95,9048728
2013-01-07,70518,95,9049169
2013-01-08,70638,95,9049178
2013-01-09,70763,95,9049187
2013-01-10,70872,95,9049196
2013-01-11,70969,95,9049196
2013-01-12,71103,95,9049196
2013-01-13,71251,95,9049205
2013-01-14,70744,95,9067394
2013-01-16,70960,95,9067403
2013-01-17,71153,95,9067412
2013-01-18,71255,95,9067412
2013-01-19,71408,95,9067718
2013-01-20,71560,95,9067871
2013-01-21,71690,95,9067871
2013-01-22,64867,95,9068303
2013-01-23,64371,95,9091054
2013-01-24,64571,95,9091054
2013-01-25,64758,95,9091063
2013-01-26,64982,95,9091072
2013-01-27,65214,95,9091081
2013-01-28,65337,95,9091090
2013-01-30,65335,95,9091090
2013-01-31,64435,95,9093502
2013-02-01,64609,95,9093502
2013-02-02,64778,95,9093511
2013-02-03,64806,95,9101494
2013-02-04,65007,95,9101503
2013-02-05,65157,95,9101512
2013-02-06,65297,95,9102064
2013-02-07,65489,95,9102064
2013-02-08,65618,95,9102064
2013-02-09,65770,95,9102064
2013-02-10,65989,95,9102064
2013-02-11,66167,95,9102073
2013-02-12,66320,95,9102073
2013-02-13,66320,95,9102073
2013-02-14,66320,95,9102073
2013-02-15,66320,95,9102073
2013-02-16,66320,95,9102073
2013-02-17,66320,95,9102073
2013-02-18,67658,95,9115398
2013-02-19,65512,95,9115695
2013-02-20,61663,95,9373105
2013-02-21,54655,97,11032852
2013-02-22,55553,97,11032857
2013-02-23,55833,97,11032861
2013-02-24,56406,97,11032866
2013-02-25,56871,97,11032870
2013-02-26,57037,97,11032870
2013-02-27,57299,97,11032875
2013-03-01,56046,98,12686179
2013-03-02,54903,99,13035271
2013-03-03,55205,99,13035271
2013-03-04,55471,99,13035276
2013-03-05,24717,99,13385276
2013-03-06,25841,99,13385276
2013-03-07,26320,99,13385289
2013-03-08,26626,99,13385294
2013-03-09,26904,99,13385298
2013-03-10,26815,99,13392935
2013-03-11,27055,99,13393371
2013-03-13,27351,99,13393389
2013-03-14,26308,99,13418394
2013-03-15,26393,99,13418398
2013-03-16,26500,99,13418453
2013-03-17,26628,99,13418457
2013-03-18,26759,99,13418472
2013-03-19,26819,99,13418597
2013-03-20,26929,99,13418601
2013-03-21,27031,99,13418606
2013-03-22,27084,99,13418606
2013-03-23,27154,99,13418606
2013-03-24,27223,99,13418606
2013-03-25,27312,99,13418606
2013-03-26,26452,99,13438016
2013-03-27,25700,99,13457422
2013-03-28,25045,99,13476828
2013-03-29,25107,99,13476905
2013-03-31,24550,99,13496396
2013-04-01,24621,99,13496468
2013-04-02,24716,99,13496530
2013-04-03,24420,99,13505650
2013-04-04,24364,99,13509377
2013-04-05,24429,99,13509381
2013-04-06,24457,99,13510173
2013-04-07,24534,99,13510177
2013-04-08,24591,99,13510177
2013-04-09,24651,99,13510177
2013-04-10,24768,99,13510177
2013-04-11,24362,99,13510177
2013-04-12,24377,99,13511115
2013-04-13,23714,99,13530521
2013-04-14,23773,99,13530661
2013-04-15,23819,99,13531161
2013-04-16,23866,99,13531161
2013-04-18,24022,99,13531165
2013-04-19,23994,99,13531165
2013-04-20,24054,99,13531165
2013-04-21,24085,99,13531170
2013-04-24,24160,99,13531179
2013-04-25,23530,99,13550585
2013-04-26,23563,99,13550585
2013-04-30,23763,99,13550848
2013-05-01,23829,99,13550862
2013-05-02,23924,99,13551028
2013-05-03,23305,99,13570434
2013-05-04,23338,99,13570434
2013-05-05,23350,99,13571620
2013-05-06,22860,99,13586586
2013-05-07,22903,99,13586586
2013-05-08,22978,99,13586586
2013-05-09,23072,99,13586586
2013-05-12,23133,99,13589106
2013-05-13,23127,99,13590683
2013-05-14,23127,99,13591744
2013-05-15,23183,99,13591744
2013-05-18,23292,99,13591744
2013-05-19,23338,99,13591744
2013-05-20,23385,99,13591744
2013-05-21,23423,99,13591744
2013-05-24,23619,99,13591744
2013-05-25,23619,99,13591744
2013-05-26,23619,99,13591744
2013-05-27,23331,99,13591744
2013-05-28,23373,99,13591744
2013-05-29,23393,99,13591744
2013-05-30,23447,99,13591744
2013-05-31,23486,99,13591744
2013-06-01,23543,99,13591744
2013-06-02,23584,99,13591744
2013-06-04,23688,99,13591744
2013-06-05,23750,99,13591744
2013-06-06,23814,99,13591744
2013-06-07,23842,99,13591744
2013-06-08,23874,99,13591744
2013-06-11,23970,99,13591744
2013-06-12,23817,99,13591744
2013-06-13,23881,99,13591744
2013-06-14,23934,99,13591744
2013-06-15,23964,99,13591744
2013-06-16,24032,99,13591744
2013-06-17,24075,99,13591744
2013-06-18,24115,99,13591744
2013-06-19,24084,99,13591744
2013-06-20,23856,99,13591744
2013-06-21,23913,99,13591744
2013-06-22,23949,99,13591744
2013-06-23,23974,99,13591744
2013-06-24,24011,99,13591744
2013-06-25,24075,99,13591744
2013-06-26,24117,99,13591744
2013-06-29,24266,99,13591744
2013-06-30,24313,99,13591744
2013-07-01,24364,99,13591744
2013-07-05,24381,99,13591744
2013-07-06,24430,99,13591744
2013-07-07,24478,99,13591744
2013-07-08,24542,99,13591744
2013-07-11,24689,99,13591744
2013-07-12,24734,99,13591744
2013-07-13,24778,99,13591744
2013-07-14,24820,99,13591744
2013-07-17,24949,99,13591744
2013-07-18,25012,99,13591744
2013-07-19,25048,99,13591744
2013-07-20,25038,99,13591744
2013-07-23,24863,99,13591744
2013-07-24,24909,99,13591744
2013-07-25,24945,99,13591744
2013-07-29,25053,99,13591744
2013-07-30,25082,99,13591744
2013-07-31,25127,99,13591744
2013-08-01,25078,99,13591744
2013-08-02,25103,99,13591744
2013-08-03,25138,99,13591744
2013-08-04,25163,99,13591744
2013-08-05,25199,99,13591744
2013-08-06,25214,99,13591744
2013-08-07,25237,99,13591744
2013-08-08,25273,99,13591744
2013-08-09,25177,99,13591744
2013-08-10,25197,99,13591744
2013-08-11,25218,99,13591744
2013-08-12,25253,99,13591744
2013-08-13,25287,99,13591744
2013-08-16,25511,99,13591994
2013-08-17,25449,99,13591994
2013-08-18,25474,99,13591994
2013-08-20,25525,99,13592143
2013-08-21,25576,99,13592143
2013-08-22,25635,99,13592143
2013-08-23,25508,99,13592143
2013-08-24,25544,99,13592143
2013-08-25,25593,99,13592143
2013-08-26,25612,99,13592143
2013-08-27,25639,99,13592143
2013-08-28,25676,99,13592143
2013-08-29,25587,99,13592143
2013-08-30,25605,99,13592143
2013-08-31,25631,99,13592143
2013-09-02,25703,99,13592143
2013-09-03,25750,99,13592143
2013-09-04,25700,99,13592143
2013-09-05,25713,99,13592143
2013-09-06,25698,99,13592143
2013-09-09,25706,99,13592143
2013-09-10,25714,99,13592143
2013-09-11,25748,99,13592143
2013-09-12,25770,99,13592143
2013-09-13,25790,99,13592143
2013-09-14,25798,99,13592143
2013-09-15,25810,99,13592143
2013-09-16,25819,99,13592143
2013-09-17,25695,99,13592143
2013-09-18,25714,99,13592143
2013-09-21,25726,99,13592143
2013-09-22,25737,99,13592143
2013-09-23,25762,99,13592143
2013-09-25,25787,99,13592143
2013-09-26,25887,99,13592143
2013-09-27,25926,99,13592143
2013-09-28,25843,99,13592143
2013-09-29,25910,99,13592143
2013-09-30,25953,99,13592143
2013-10-02,26010,99,13592143
2013-10-03,26054,99,13592143
2013-10-04,26096,99,13592143
2013-10-05,26059,99,13592143
2013-10-06,26081,99,13592143
2013-10-07,26116,99,13592143
2013-10-08,26140,99,13592143
2013-10-09,26177,99,13592143
2013-10-10,26212,99,13592143
2013-10-11,26227,99,13592143
2013-10-12,26247,99,13592143
2013-10-15,26345,99,13592143
2013-10-16,26383,99,13592143
2013-10-17,26444,99,13592143
2013-10-18,26466,99,13592143
2013-10-20,26537,99,13592647
2013-10-21,26587,99,13592647
2013-10-22,26626,99,13592647
2013-10-23,26489,99,13592647
2013-10-24,26540,99,13592647
2013-10-27,26617,99,13592647
2013-10-28,26654,99,13592647
2013-10-29,26719,99,13592647
2013-10-30,26690,99,13592647
2013-11-02,26804,99,13592647
2013-11-03,26876,99,13592647
2013-11-04,26925,99,13592647
2013-11-07,27039,99,13592647
2013-11-08,27080,99,13592647
2013-11-09,27112,99,13592647
2013-11-10,27150,99,13592647
2013-11-11,27190,99,13592647
2013-11-14,27188,99,13592647
2013-11-15,27215,99,13592647
2013-11-16,27263,99,13592647
2013-11-17,27339,99,13592647
2013-11-20,27498,99,13592647
2013-11-21,27526,99,13592647
2013-11-22,27550,99,13592647
2013-11-26,27677,99,13592647
2013-11-27,27567,99,13592647
2013-11-28,27627,99,13592647
2013-11-29,27667,99,13592647
2013-12-02,27812,99,13592647
2013-12-03,27848,99,13592647
2013-12-04,27913,99,13592647
2013-12-05,27960,99,13592647
2013-12-08,28067,99,13592647
2013-12-09,28118,99,13592647
2013-12-10,28122,99,13592647
2013-12-11,28167,99,13592647
2013-12-13,28075,99,13592647
2013-12-14,28095,99,13592647
2013-12-15,28134,99,13592647
2013-12-16,28164,99,13592647
2013-12-17,28208,99,13592647
2013-12-20,28382,99,13592647
2013-12-21,28434,99,13593240
2013-12-22,28460,99,13593640
2013-12-23,28438,99,13596586
2013-12-26,28460,99,13600588
2013-12-27,28479,99,13600588
2013-12-29,28118,99,13617812
2014-01-01,28235,99,13617812
2014-01-02,28328,99,13617812
2014-01-03,28167,99,13626415
2014-01-05,28260,99,13626415
2014-01-07,28341,99,13626415
