date,rank,level,xp
2013-01-04,55355,99,14209862
2013-01-05,55384,99,14209862
2013-01-06,55451,99,14213451
2013-01-07,55494,99,14213451
2013-01-08,55573,99,14213451
2013-01-09,55629,99,14213451
2013-01-10,55734,99,14213451
2013-01-11,55812,99,14213451
2013-01-12,55897,99,14213451
2013-01-13,55983,99,14213451
2013-01-14,56088,99,14213451
2013-01-16,56221,99,14213451
2013-01-17,56331,99,14213451
2013-01-18,56205,99,14226521
2013-01-19,55226,99,14294935
2013-01-20,54638,99,14336589
2013-01-21,54730,99,14336589
2013-01-22,47586,99,14351271
2013-01-23,47678,99,14351271
2013-01-24,47680,99,14359874
2013-01-25,47812,99,14359874
2013-01-26,47950,99,14359874
2013-01-27,48099,99,14359874
2013-01-28,48180,99,14359874
2013-01-30,48177,99,14359874
2013-01-31,46868,99,14359874
2013-02-01,46973,99,14359874
2013-02-02,47108,99,14359874
2013-02-03,47250,99,14359974
2013-02-04,47406,99,14359974
2013-02-05,47525,99,14359974
2013-02-06,47644,99,14359974
2013-02-07,47780,99,14359974
2013-02-08,47876,99,14359974
2013-02-09,48010,99,14359974
2013-02-10,48173,99,14359974
2013-02-11,48316,99,14359974
2013-02-12,48423,99,14359974
2013-02-13,48423,99,14359974
2013-02-14,48423,99,14359974
2013-02-15,48423,99,14359974
2013-02-16,48423,99,14359974
2013-02-17,48423,99,14359974
2013-02-18,49682,99,14359974
2013-02-19,47567,99,14359974
2013-02-20,47843,99,14360469
2013-02-21,48417,99,14360469
2013-02-22,49500,99,14360469
2013-02-23,49825,99,14360469
2013-02-24,50362,99,14360469
2013-02-25,50873,99,14360469
2013-02-26,50945,99,14360469
2013-02-27,50072,99,14360469
2013-03-01,50488,99,14360469
2013-03-02,50746,99,14360469
2013-03-03,51083,99,14360469
2013-03-04,51387,99,14360469
2013-03-05,48559,99,14548080
2013-03-06,48807,99,14548080
2013-03-07,48984,99,14548080
2013-03-08,49144,99,14548080
2013-03-09,49287,99,14548080
2013-03-10,49475,99,14548080
2013-03-11,49563,99,14556683
2013-03-13,49798,99,14556683
2013-03-14,49782,99,14565285
2013-03-15,49820,99,14565285
2013-03-16,49921,99,14565285
2013-03-17,50069,99,14565285
2013-03-18,50190,99,14565285
2013-03-19,50153,99,14565285
2013-03-20,50249,99,14565285
2013-03-21,50331,99,14565285
2013-03-22,50422,99,14565285
2013-03-23,50481,99,14565285
2013-03-24,50573,99,14565285
2013-03-25,50677,99,14565285
2013-03-26,50760,99,14565285
2013-03-27,50866,99,14565285
2013-03-28,50919,99,14565285
2013-03-29,50983,99,14565285
2013-03-31,51223,99,14565285
2013-04-01,51328,99,14565285
2013-04-02,46579,99,14954840
2013-04-03,44831,99,15109347
2013-04-04,44818,99,15112105
2013-04-05,44838,99,15112105
2013-04-06,44841,99,15112188
2013-04-07,44821,99,15112188
2013-04-08,44900,99,15112188
2013-04-09,44947,99,15112188
