date,rank,level,xp
2013-01-04,21733,99,13368266
2013-01-05,21718,99,13368266
2013-01-06,21777,99,13368266
2013-01-07,21804,99,13368266
2013-01-08,21832,99,13368266
2013-01-09,21917,99,13368266
2013-01-10,22003,99,13368266
2013-01-11,21294,99,13398266
2013-01-12,21327,99,13398266
2013-01-13,21376,99,13398266
2013-01-14,21058,99,13413416
2013-01-16,21162,99,13413416
2013-01-17,21272,99,13413416
2013-01-18,21310,99,13413416
2013-01-19,21357,99,13413416
2013-01-20,21396,99,13413691
2013-01-21,21456,99,13413691
2013-01-22,20035,99,13413980
2013-01-23,20123,99,13413980
2013-01-24,20184,99,13413980
2013-01-25,20230,99,13413980
2013-01-26,20117,99,13422583
2013-01-27,20147,99,13422583
2013-01-28,20124,99,13422583
2013-01-30,20120,99,13422583
2013-01-31,19707,99,13435215
2013-02-01,19742,99,13435215
2013-02-02,19775,99,13435215
2013-02-03,19558,99,13449266
2013-02-04,19627,99,13449266
2013-02-05,19513,99,13457869
2013-02-06,19558,99,13458288
2013-02-07,19648,99,13458288
2013-02-08,19674,99,13458288
2013-02-09,19721,99,13458288
2013-02-10,19725,99,13459950
2013-02-11,19768,99,13459950
2013-02-12,19802,99,13459950
2013-02-13,19802,99,13459950
2013-02-14,19802,99,13459950
2013-02-15,19802,99,13459950
2013-02-16,19802,99,13459950
2013-02-17,19802,99,13459950
2013-02-18,19916,99,13472034
2013-02-19,19347,99,13474200
2013-02-20,19403,99,13474998
2013-02-21,19585,99,13474998
2013-02-22,19755,99,13477097
2013-02-23,19731,99,13477097
2013-02-24,19812,99,13477097
2013-02-25,19780,99,13485700
2013-02-26,19805,99,13485700
2013-02-27,18258,99,13554515
2013-03-01,18329,99,13554515
2013-03-02,18268,99,13563118
2013-03-03,18362,99,13563118
2013-03-04,18432,99,13563118
2013-03-05,18253,99,13570284
2013-03-06,18339,99,13570284
2013-03-07,18402,99,13570284
2013-03-08,18390,99,13570284
2013-03-09,18434,99,13570284
2013-03-10,18502,99,13570284
2013-03-11,18565,99,13570284
2013-03-13,18269,99,13589174
2013-03-14,18294,99,13589174
2013-03-15,17840,99,13619174
2013-03-16,17861,99,13619174
2013-03-17,17819,99,13624533
2013-03-18,17864,99,13624533
2013-03-19,17879,99,13624533
2013-03-20,17419,99,13658942
2013-03-21,17046,99,13688942
2013-03-22,17088,99,13688942
2013-03-23,17092,99,13688942
2013-03-24,17100,99,13688942
2013-03-25,17132,99,13688942
2013-03-26,17153,99,13688942
2013-03-27,17199,99,13688942
2013-03-28,17236,99,13688942
2013-03-29,17212,99,13692909
2013-03-31,17174,99,13702612
2013-04-01,17214,99,13702612
2013-04-02,17194,99,13704274
2013-04-03,16948,99,13723173
2013-04-04,16952,99,13725555
2013-04-05,16958,99,13725594
2013-04-06,16969,99,13725594
2013-04-07,16992,99,13727586
2013-04-08,16900,99,13738166
2013-04-09,16939,99,13738166
2013-04-10,16990,99,13738166
2013-04-11,16280,99,13738166
2013-04-12,16318,99,13738166
2013-04-13,16357,99,13738166
2013-04-14,16278,99,13748166
2013-04-15,16311,99,13748653
2013-04-16,16340,99,13748653
2013-04-18,16321,99,13757256
2013-04-19,16261,99,13757256
2013-04-20,16297,99,13757256
2013-04-21,15984,99,13787256
2013-04-24,15324,99,13850256
2013-04-25,15351,99,13850256
