date,rank,level,xp
2013-01-04,119735,81,2223272
2013-01-05,119712,81,2223272
2013-01-06,114622,81,2372784
2013-01-07,111427,82,2483460
2013-01-08,111455,82,2483460
2013-01-09,111081,82,2496503
2013-01-10,111125,82,2496503
2013-01-11,111172,82,2496503
2013-01-12,111208,82,2496503
2013-01-13,111332,82,2496503
2013-01-14,111465,82,2496503
2013-01-16,111628,82,2496503
2013-01-17,110871,82,2526462
2013-01-18,110454,82,2541515
2013-01-19,108158,82,2635313
2013-01-20,107648,82,2669505
2013-01-21,103978,83,2814252
2013-01-22,92711,83,2861726
2013-01-23,92871,83,2861726
2013-01-24,92997,83,2861726
2013-01-25,93161,83,2861726
2013-01-26,93305,83,2861726
2013-01-27,93472,83,2861726
2013-01-28,93394,83,2873612
2013-01-30,93388,83,2873612
2013-01-31,91208,83,2893361
2013-02-01,91337,83,2893361
2013-02-02,91483,83,2893361
2013-02-03,91679,83,2893874
2013-02-04,91246,83,2930052
2013-02-05,91412,83,2930052
2013-02-06,91385,83,2939096
2013-02-07,91539,83,2939096
2013-02-08,91629,83,2939096
2013-02-09,91763,83,2939096
2013-02-10,91963,83,2939096
2013-02-11,92157,83,2939096
2013-02-12,92293,83,2939096
2013-02-13,92293,83,2939096
2013-02-14,92293,83,2939096
2013-02-15,92293,83,2939096
2013-02-16,92293,83,2939096
2013-02-17,92293,83,2939096
2013-02-18,93347,84,2986245
2013-02-19,89179,84,3031063
2013-02-20,89584,84,3031063
2013-02-21,90304,84,3031063
2013-02-22,91606,84,3031063
2013-02-23,91902,84,3031063
2013-02-24,92751,84,3031063
2013-02-25,93530,84,3031063
2013-02-26,93815,84,3031063
2013-02-27,94257,84,3031063
2013-03-01,95329,84,3031063
2013-03-02,95843,84,3031063
2013-03-03,96452,84,3031063
2013-03-04,96920,84,3031063
2013-03-05,93142,85,3260611
2013-03-06,92703,85,3285611
2013-03-07,93068,85,3285611
2013-03-08,93348,85,3285861
2013-03-09,93668,85,3285861
2013-03-10,92954,85,3325212
2013-03-11,91860,85,3384790
2013-03-13,91443,85,3424138
2013-03-14,89868,85,3511327
2013-03-15,90000,85,3511327
2013-03-16,89824,85,3528869
2013-03-17,90063,85,3528869
2013-03-18,89384,85,3583461
2013-03-19,89519,85,3583461
2013-03-20,89675,85,3583461
2013-03-21,88636,86,3641760
2013-03-22,88503,86,3657210
2013-03-23,88463,86,3672659
2013-03-24,88836,86,3672659
2013-03-25,88581,86,3704127
2013-03-26,87644,86,3766950
2013-03-27,86652,86,3837720
2013-03-28,85640,86,3915227
2013-03-29,84962,87,3982234
2013-03-31,77846,88,4470448
2013-04-01,76512,88,4573893
2013-04-02,71707,89,5001106
2013-04-03,68410,90,5363041
2013-04-04,67036,90,5453068
2013-04-05,66653,90,5481463
2013-04-06,66259,90,5516199
2013-04-07,65362,90,5589599
2013-04-08,65371,90,5595721
