date,rank,level,xp
2013-01-04,104728,80,1993135
2013-01-05,104763,80,1993135
2013-01-06,105003,80,1993135
2013-01-07,105059,80,1993135
2013-01-08,105196,80,1993135
2013-01-09,105316,80,1993135
2013-01-10,105460,80,1993135
2013-01-11,105586,80,1993198
2013-01-12,105741,80,1993198
2013-01-13,105950,80,1993198
2013-01-14,106184,80,1993198
2013-01-16,106442,80,1993223
2013-01-17,106635,80,1993223
2013-01-18,106769,80,1993223
2013-01-19,106977,80,1993223
2013-01-20,107195,80,1993223
2013-01-21,107399,80,1993223
2013-01-22,97398,80,1996223
2013-01-23,97631,80,1996223
2013-01-24,97862,80,1996223
2013-01-25,98034,80,1996223
2013-01-26,98241,80,1996223
2013-01-27,98495,80,1996223
2013-01-28,98660,80,1996223
2013-01-30,98662,80,1996223
2013-01-31,92214,80,2040040
2013-02-01,92389,80,2040040
2013-02-02,92545,80,2040040
2013-02-03,92719,80,2041155
2013-02-04,92586,80,2045686
2013-02-05,92759,80,2045686
2013-02-06,92892,80,2045909
2013-02-07,93064,80,2045909
2013-02-08,93172,80,2045909
2013-02-09,93347,80,2045909
2013-02-10,93545,80,2045909
2013-02-11,93752,80,2045909
2013-02-12,93915,80,2045909
2013-02-13,93915,80,2045909
2013-02-14,93915,80,2045909
2013-02-15,93915,80,2045909
2013-02-16,93915,80,2045909
2013-02-17,93915,80,2045909
2013-02-18,95552,80,2045909
2013-02-19,92350,80,2045909
2013-02-20,92634,80,2046753
2013-02-21,93232,80,2046753
2013-02-22,94242,80,2046753
2013-02-23,94373,80,2046753
2013-02-24,95096,80,2046753
2013-02-25,95807,80,2046753
2013-02-26,95914,80,2046753
2013-02-27,96122,80,2046753
2013-03-01,96910,80,2046753
2013-03-02,97354,80,2046753
2013-03-03,97846,80,2046753
2013-03-04,98253,80,2046753
2013-03-05,97907,80,2046753
2013-03-06,98308,80,2046753
2013-03-07,98634,80,2046753
2013-03-08,98903,80,2046753
2013-03-09,99164,80,2046753
2013-03-10,99524,80,2046753
2013-03-11,99827,80,2046753
2013-03-13,100259,80,2046753
2013-03-14,100453,80,2046753
2013-03-15,100622,80,2046753
2013-03-16,100787,80,2047138
2013-03-17,101043,80,2047138
2013-03-18,101284,80,2047138
2013-03-19,101400,80,2047138
2013-03-20,101589,80,2047138
2013-03-21,100016,80,2069273
2013-03-22,100181,80,2069273
2013-03-23,100323,80,2069273
2013-03-24,100514,80,2069273
2013-03-25,100740,80,2069273
2013-03-26,100894,80,2069273
2013-03-27,101075,80,2069273
2013-03-28,101224,80,2069273
2013-03-29,101075,80,2073254
2013-03-31,101446,80,2073254
2013-04-01,101671,80,2073254
2013-04-02,101814,80,2073254
2013-04-03,101734,80,2075989
2013-04-04,101127,80,2085275
2013-04-05,101186,80,2085775
2013-04-06,100493,80,2098490
2013-04-07,100620,80,2098490
2013-04-08,100770,80,2098490
2013-04-09,100880,80,2098490
2013-04-10,101001,80,2098490
2013-04-11,96347,80,2098490
2013-04-12,96469,80,2098490
2013-04-13,84076,82,2475994
2013-04-14,84249,82,2475994
2013-04-15,84378,82,2477216
2013-04-16,76614,83,2941873
2013-04-18,66445,86,3794020
2013-04-19,61752,88,4386216
2013-04-20,59966,88,4577916
2013-04-21,59476,88,4673766
2013-04-24,59446,88,4673841
2013-04-25,58823,88,4827201
2013-04-26,58788,88,4827201
2013-04-30,49945,90,5629422
2013-05-01,50025,90,5629422
2013-05-02,50082,90,5629422
2013-05-03,48651,90,5829997
2013-05-04,48712,90,5829997
2013-05-05,48785,90,5830907
2013-05-06,48201,91,5931157
2013-05-07,48274,91,5931157
2013-05-08,47442,91,6033644
2013-05-09,47488,91,6036019
2013-05-12,47657,91,6039206
2013-05-13,47727,91,6039206
2013-05-14,47764,91,6039206
2013-05-15,47801,91,6039206
2013-05-18,47964,91,6039206
2013-05-19,48042,91,6039206
2013-05-20,48137,91,6039206
2013-05-21,48196,91,6039206
2013-05-24,48450,91,6039206
2013-05-25,48450,91,6039206
2013-05-26,48450,91,6039206
2013-05-27,47226,91,6039206
2013-05-28,47318,91,6039206
2013-05-29,47202,91,6039206
2013-05-30,47252,91,6039206
2013-05-31,47331,91,6039206
2013-06-01,47403,91,6039206
2013-06-02,47487,91,6039206
2013-06-04,47660,91,6039206
2013-06-05,47632,91,6049706
2013-06-06,47690,91,6049706
2013-06-07,47751,91,6049706
2013-06-08,47822,91,6049706
2013-06-11,48105,91,6049706
2013-06-12,47592,91,6049706
2013-06-13,47650,91,6049706
2013-06-14,47731,91,6049706
2013-06-15,47688,91,6049706
2013-06-16,47786,91,6049706
2013-06-17,47865,91,6049706
2013-06-18,47926,91,6049706
2013-06-19,47773,91,6049706
2013-06-20,47435,91,6049706
2013-06-21,47479,91,6049706
2013-06-22,47506,91,6049706
2013-06-23,47434,91,6049706
2013-06-24,47570,91,6049706
2013-06-25,47704,91,6049706
2013-06-26,47658,91,6049706
2013-06-29,47617,91,6049706
2013-06-30,47826,91,6049706
2013-07-01,47960,91,6049706
2013-07-05,47626,91,6049706
2013-07-06,47705,91,6049706
2013-07-07,47798,91,6049706
2013-07-08,47874,91,6049706
2013-07-11,48038,91,6049706
2013-07-12,48103,91,6049706
2013-07-13,48176,91,6049706
2013-07-14,48246,91,6049706
2013-07-17,48425,91,6049706
2013-07-18,48448,91,6049706
2013-07-19,48501,91,6049706
2013-07-20,48252,91,6049706
2013-07-23,47670,91,6049706
2013-07-24,47706,91,6049706
2013-07-25,47724,91,6049706
2013-07-29,47839,91,6049706
2013-07-30,47890,91,6049706
2013-07-31,47947,91,6049706
2013-08-01,47699,91,6049706
2013-08-02,47725,91,6049706
2013-08-03,47766,91,6049706
2013-08-04,47784,91,6049706
2013-08-05,47816,91,6049706
2013-08-06,47791,91,6049706
2013-08-07,47829,91,6049706
2013-08-08,47837,91,6049706
2013-08-09,47481,91,6049706
2013-08-10,47460,91,6049706
2013-08-11,47498,91,6049706
2013-08-12,47561,91,6049706
2013-08-13,47576,91,6049706
2013-08-16,47640,91,6049706
2013-08-17,47347,91,6049706
2013-08-18,47371,91,6049706
2013-08-20,47403,91,6049706
2013-08-21,47251,91,6049706
2013-08-22,47222,91,6049706
2013-08-23,46907,91,6049706
2013-08-24,46975,91,6049706
2013-08-25,47012,91,6049706
2013-08-26,47008,91,6049706
2013-08-27,47025,91,6049706
2013-08-28,47040,91,6049706
2013-08-29,46738,91,6049706
2013-08-30,46763,91,6049706
2013-08-31,46801,91,6049706
2013-09-02,46869,91,6049706
2013-09-03,46914,91,6049706
2013-09-04,46732,91,6049706
2013-09-05,46723,91,6049706
2013-09-06,46680,91,6049706
2013-09-09,46569,91,6049706
2013-09-10,46569,91,6049706
2013-09-11,46565,91,6049706
2013-09-12,46592,91,6049706
2013-09-13,46609,91,6049706
2013-09-14,46624,91,6049706
2013-09-15,46646,91,6049706
2013-09-16,46687,91,6049706
2013-09-17,46285,91,6049706
2013-09-18,46292,91,6049706
2013-09-21,46253,91,6049706
2013-09-22,46286,91,6049706
2013-09-23,46296,91,6049706
2013-09-25,46283,91,6049706
2013-09-26,46416,91,6049706
2013-09-27,46519,91,6049706
2013-09-28,46239,91,6049706
2013-09-29,46324,91,6049706
2013-09-30,46413,91,6049706
2013-10-02,46516,91,6049706
2013-10-03,46617,91,6049706
2013-10-04,46676,91,6049706
2013-10-05,46532,91,6049706
2013-10-06,46596,91,6049706
2013-10-07,46678,91,6049706
2013-10-08,46729,91,6049706
2013-10-09,46786,91,6049706
2013-10-10,46833,91,6049706
2013-10-11,46863,91,6049706
2013-10-12,46906,91,6049706
2013-10-15,47096,91,6049706
