date,rank,level,xp
2013-01-04,205113,91,6165846
2013-01-05,204846,91,6174114
2013-01-06,205080,91,6174156
2013-01-07,205125,91,6174170
2013-01-08,205203,91,6174184
2013-01-09,205201,91,6174199
2013-01-10,205238,91,6174227
2013-01-11,205314,91,6174255
2013-01-12,205432,91,6174255
2013-01-13,205710,91,6174269
2013-01-14,205920,91,6174283
2013-01-16,206228,91,6174298
2013-01-17,206506,91,6174326
2013-01-18,206662,91,6174326
2013-01-19,206906,91,6174340
2013-01-20,207292,91,6174340
2013-01-21,207535,91,6174340
2013-01-22,175503,91,6175575
2013-01-23,175845,91,6175590
2013-01-24,176162,91,6175590
2013-01-25,176478,91,6175604
2013-01-26,176860,91,6175954
2013-01-27,177313,91,6175968
2013-01-28,177563,91,6175982
2013-01-30,177540,91,6175982
2013-01-31,172675,91,6176013
2013-02-01,173009,91,6176013
2013-02-02,173444,91,6176027
2013-02-03,173996,91,6177162
2013-02-04,174473,91,6177186
2013-02-05,174786,91,6177201
2013-02-06,175058,91,6177213
2013-02-07,175417,91,6177225
2013-02-08,175723,91,6177237
2013-02-09,176115,91,6177246
2013-02-10,176596,91,6177246
2013-02-11,177086,91,6177258
2013-02-12,177242,91,6188141
2013-02-13,177242,91,6188141
2013-02-14,177242,91,6188141
2013-02-15,177242,91,6188141
2013-02-16,177242,91,6188141
2013-02-17,177242,91,6188141
2013-02-18,180386,91,6304284
2013-02-19,170453,91,6304676
2013-02-20,171460,91,6304676
2013-02-21,173470,91,6304676
2013-02-22,177271,91,6304688
2013-02-23,178149,91,6304698
2013-02-24,179995,91,6304713
2013-02-25,182335,91,6304727
2013-02-26,182710,91,6304741
2013-02-27,178434,91,6304755
2013-03-01,180865,91,6304769
2013-03-02,182183,91,6304773
2013-03-03,183860,91,6304787
2013-03-04,185047,91,6304802
2013-03-05,183299,91,6304802
2013-03-06,184258,91,6317715
2013-03-07,185273,91,6317730
2013-03-08,186054,91,6317744
2013-03-09,186742,91,6317758
2013-03-10,187791,91,6317772
2013-03-11,188773,91,6317786
2013-03-13,190074,91,6317822
2013-03-14,188589,91,6481961
2013-03-15,188856,91,6487493
2013-03-16,187173,92,6590161
2013-03-17,187845,92,6590205
2013-03-18,185769,92,6748982
2013-03-19,185866,92,6766524
2013-03-20,186269,92,6766794
2013-03-21,186575,92,6766859
2013-03-22,186910,92,6766859
2013-03-23,187263,92,6766859
2013-03-24,187726,92,6766859
2013-03-25,188341,92,6766859
2013-03-26,188678,92,6766873
2013-03-27,188244,92,6828897
2013-03-28,187776,92,6889217
2013-03-29,187066,92,6972545
2013-03-31,179168,93,7673699
2013-04-01,179674,93,7673737
2013-04-02,179130,93,7761627
2013-04-03,176086,94,8071134
2013-04-04,175080,94,8163232
2013-04-05,174757,94,8198943
2013-04-06,173664,94,8313751
2013-04-07,172286,94,8480086
2013-04-08,172372,94,8494558
2013-04-09,172545,94,8494558
2013-04-10,172727,94,8494558
2013-04-11,158565,94,8494697
2013-04-12,158788,94,8501562
2013-04-13,159048,94,8505017
2013-04-14,158926,94,8592981
2013-04-15,158564,94,8747441
2013-04-16,157198,95,8874008
2013-04-18,157634,95,8874022
2013-04-19,155245,95,8874022
2013-04-20,155011,95,8922095
2013-04-21,155262,95,8922095
2013-04-24,151764,95,9241876
2013-04-25,151008,95,9381790
2013-04-26,149694,95,9554645
2013-04-30,146950,96,10181483
2013-05-01,146839,96,10228927
2013-05-02,147060,96,10228974
2013-05-03,147130,96,10236350
2013-05-04,147224,96,10236350
2013-05-05,146488,96,10413506
2013-05-06,146139,96,10506287
2013-05-07,146046,96,10544137
2013-05-08,145941,96,10590812
2013-05-09,145946,96,10611049
2013-05-12,145742,97,10745077
2013-05-13,144849,97,10939348
2013-05-14,144946,97,10939348
2013-05-15,144960,97,10973701
2013-05-18,144907,97,10973701
2013-05-19,145126,97,10973701
2013-05-20,145312,97,10973701
2013-05-21,145432,97,10973701
2013-05-24,145852,97,10973701
2013-05-25,145852,97,10973701
2013-05-26,145852,97,10973701
2013-05-27,136911,97,10973701
2013-05-28,137128,97,10973701
2013-05-29,136306,97,10973701
2013-05-30,136445,97,10973701
2013-05-31,136625,97,10973701
2013-06-01,136827,97,10973701
2013-06-02,137062,97,10973701
2013-06-04,137470,97,10973701
2013-06-05,137584,97,10973701
2013-06-06,137845,97,10973701
2013-06-07,138074,97,10973701
2013-06-08,138390,97,10973701
2013-06-11,139139,97,10973701
2013-06-12,135571,97,10973701
2013-06-13,135573,97,10973701
2013-06-14,135739,97,10982050
2013-06-15,135727,97,10982050
2013-06-16,135885,97,10982050
2013-06-17,136123,97,10982050
2013-06-18,136365,97,10982050
2013-06-19,135116,97,10982050
2013-06-20,134829,97,10982050
2013-06-21,134979,97,10982050
2013-06-22,135013,97,10982050
2013-06-23,134899,97,10982050
2013-06-24,135343,97,10982050
2013-06-25,135708,97,10982050
2013-06-26,135734,97,10982050
2013-06-29,135562,97,10982050
2013-06-30,136072,97,10982050
2013-07-01,136381,97,10982050
2013-07-05,133535,97,10982050
2013-07-06,133517,97,10982050
2013-07-07,133695,97,10982050
2013-07-08,133842,97,10982050
2013-07-11,134224,97,10982050
2013-07-12,134360,97,10982050
2013-07-13,134557,97,10982050
2013-07-14,134747,97,10982050
2013-07-17,135154,97,10982050
2013-07-18,135234,97,10982050
2013-07-19,135383,97,10982050
2013-07-20,134523,97,10982050
2013-07-23,129954,97,10989704
2013-07-24,129944,97,10989704
2013-07-25,129782,97,10989704
2013-07-29,129989,97,10989704
2013-07-30,129972,97,11005425
2013-07-31,130074,97,11005425
2013-08-01,128365,97,11005425
2013-08-02,128246,97,11005425
2013-08-03,128364,97,11005425
2013-08-04,128363,97,11005425
2013-08-05,128458,97,11005425
2013-08-06,128249,97,11005425
2013-08-07,128254,97,11005425
2013-08-08,128147,97,11005425
2013-08-09,126085,97,11005425
2013-08-10,125779,97,11005425
2013-08-11,125808,97,11005425
2013-08-12,125909,97,11005425
2013-08-13,125984,97,11005425
2013-08-16,125910,97,11006475
2013-08-17,124152,97,11006475
2013-08-18,124142,97,11006475
2013-08-20,124117,97,11006475
2013-08-21,123023,97,11006475
2013-08-22,122761,97,11006475
2013-08-23,122021,97,11006475
2013-08-24,122081,97,11006475
2013-08-25,122115,97,11006475
2013-08-26,122107,97,11006475
2013-08-27,122040,97,11006475
2013-08-28,122006,97,11006475
2013-08-29,120129,97,11006475
2013-08-30,120072,97,11006475
2013-08-31,119982,97,11006475
2013-09-02,120065,97,11006475
2013-09-03,120159,97,11007400
2013-09-04,118808,97,11007400
2013-09-05,118660,97,11007400
2013-09-06,118433,97,11007400
2013-09-09,117380,97,11007400
2013-09-10,117240,97,11007400
2013-09-11,117148,97,11007400
2013-09-12,117088,97,11007400
2013-09-13,117064,97,11007400
2013-09-14,117036,97,11007400
2013-09-15,117039,97,11007400
2013-09-16,117069,97,11007400
2013-09-17,114912,97,11007400
2013-09-18,114841,97,11007400
2013-09-21,114438,97,11008261
2013-09-22,114398,97,11008261
2013-09-23,114337,97,11008261
2013-09-25,114077,97,11008261
2013-09-26,114327,97,11008261
2013-09-27,114568,97,11008261
2013-09-28,112804,97,11008261
2013-09-29,113103,97,11008261
2013-09-30,113318,97,11008261
2013-10-02,113482,97,11008261
2013-10-03,113561,97,11008261
2013-10-04,113670,97,11008261
2013-10-05,112692,97,11008261
2013-10-06,112809,97,11008261
2013-10-07,112927,97,11008261
2013-10-08,112975,97,11008261
2013-10-09,112985,97,11008261
2013-10-10,112993,97,11008261
2013-10-11,113029,97,11008261
2013-10-12,113118,97,11008261
2013-10-15,113392,97,11008261
2013-10-16,113386,97,11008261
2013-10-17,113479,97,11008261
2013-10-18,113571,97,11008261
2013-10-20,113126,97,11241484
2013-10-21,113364,97,11241484
2013-10-22,113483,97,11241484
2013-10-23,110914,97,11241484
2013-10-24,111050,97,11241484
2013-10-27,111407,97,11241484
2013-10-28,111655,97,11241484
2013-10-29,111769,97,11241484
2013-10-30,110805,97,11241484
2013-11-02,110852,97,11241484
2013-11-03,111026,97,11241484
2013-11-04,111097,97,11249420
2013-11-07,111342,97,11249420
2013-11-08,111350,97,11249420
2013-11-09,111416,97,11249420
2013-11-10,111574,97,11249420
2013-11-11,111742,97,11249420
2013-11-14,110056,97,11249420
2013-11-15,110118,97,11249420
2013-11-16,110187,97,11249420
2013-11-17,110427,97,11249420
2013-11-20,110778,97,11249420
2013-11-21,110860,97,11249420
2013-11-22,110916,97,11249420
2013-11-26,111232,97,11263821
2013-11-27,109381,97,11280793
2013-11-28,109480,97,11280793
2013-11-29,109588,97,11280793
2013-12-02,110055,97,11280793
2013-12-03,110105,97,11280793
2013-12-04,110184,97,11280793
2013-12-05,110177,97,11280793
2013-12-08,110551,97,11280793
2013-12-09,110798,97,11280793
2013-12-10,110855,97,11280793
2013-12-11,110961,97,11280793
2013-12-13,109094,97,11280793
2013-12-14,109229,97,11280793
2013-12-15,109480,97,11280793
2013-12-16,109711,97,11280793
2013-12-17,109884,97,11280793
2013-12-20,110479,97,11280793
2013-12-21,110356,97,11470156
2013-12-22,110616,97,11497722
2013-12-23,110158,98,11835813
2013-12-26,109939,98,12302534
2013-12-27,110034,98,12302534
2013-12-29,110520,98,12302534
2014-01-01,108479,99,13039948
2014-01-02,108715,99,13039948
2014-01-03,108885,99,13039948
2014-01-05,109354,99,13039948
2014-01-07,109702,99,13039948
2014-01-08,109827,99,13039948
2014-01-09,109992,99,13039948
2014-01-10,110101,99,13039948
2014-01-12,110445,99,13039948
2014-01-13,110660,99,13039948
2014-01-14,110801,99,13039948
2014-01-15,110945,99,13039948
2014-01-16,111089,99,13039948
2014-01-17,108036,99,13039948
2014-01-18,108243,99,13039948
2014-01-19,108480,99,13039948
2014-01-20,108712,99,13039948
2014-01-21,108864,99,13039948
2014-01-22,108976,99,13039948
2014-01-25,109395,99,13039948
2014-01-26,109609,99,13039948
2014-01-27,109891,99,13039948
2014-01-31,108359,99,13039948
2014-02-01,109062,99,13039948
2014-02-02,109597,99,13039948
2014-02-03,110027,99,13039948
2014-02-06,109844,99,13039948
2014-02-07,110005,99,13039948
2014-02-08,110275,99,13039948
2014-02-09,110448,99,13039948
2014-02-10,110803,99,13039948
2014-02-11,110943,99,13039948
2014-02-12,111136,99,13039948
2014-02-13,111320,99,13039948
2014-02-14,111552,99,13039948
2014-02-15,111838,99,13039948
2014-02-16,112195,99,13039948
2014-02-17,112533,99,13039948
2014-02-18,112750,99,13039948
2014-02-19,110570,99,13039948
2014-02-20,110732,99,13039948
2014-02-21,111000,99,13039948
2014-02-22,111501,99,13039948
2014-02-23,111953,99,13039948
2014-02-24,112292,99,13039948
2014-02-25,112580,99,13039948
2014-02-26,112759,99,13039948
2014-02-27,112965,99,13039948
2014-02-28,113102,99,13039948
2014-03-01,113102,99,13040928
2014-03-02,113346,99,13040928
2014-03-03,113615,99,13040928
2014-03-04,113794,99,13040928
2014-03-05,113790,99,13040928
2014-03-06,113855,99,13040928
2014-03-07,113908,99,13040928
2014-03-08,113964,99,13040928
2014-03-09,114156,99,13040928
2014-03-10,114303,99,13040928
2014-03-11,114340,99,13040928
2014-03-12,114434,99,13040928
2014-03-13,111467,99,13040928
2014-03-14,111539,99,13040928
2014-03-15,111687,99,13040928
2014-03-16,111854,99,13040928
2014-03-17,112030,99,13040928
2014-03-19,111146,99,13040928
2014-03-20,111100,99,13040928
2014-03-21,111162,99,13040928
2014-03-22,111184,99,13040928
2014-03-23,111347,99,13040928
2014-03-24,111519,99,13040928
2014-03-25,110005,99,13040928
2014-03-26,110054,99,13040928
2014-03-27,110113,99,13040928
2014-03-28,109662,99,13040928
2014-03-29,109418,99,13040928
2014-03-30,109650,99,13040928
2014-03-31,109833,99,13040948
2014-04-01,112516,99,13040948
2014-04-02,114268,99,13040948
2014-04-03,115627,99,13040948
2014-04-04,117022,99,13040948
2014-04-07,118329,99,13040948
2014-04-08,118329,99,13040948
2014-04-09,124061,99,13040948
2014-04-10,125076,99,13040948
2014-04-13,127256,99,13040948
2014-04-14,129948,99,13040948
2014-04-15,131073,99,13040948
2014-04-19,135142,99,13040948
2014-04-20,136119,99,13040948
2014-04-21,137160,99,13040948
2014-04-22,138198,99,13040948
2014-04-25,140643,99,13040948
2014-04-26,141182,99,13040948
2014-04-27,142125,99,13040948
2014-05-01,144821,99,13040948
2014-05-02,145631,99,13040948
2014-05-03,146449,99,13040948
2014-05-04,147476,99,13040948
2014-05-05,148334,99,13040948
2014-05-06,149144,99,13040948
2014-05-07,149778,99,13040948
2014-05-08,150664,99,13040948
2014-05-09,151228,99,13040948
2014-05-10,151989,99,13040948
2014-05-11,152931,99,13040948
2014-05-12,153788,99,13040948
2014-05-13,154501,99,13040948
2014-05-14,154780,99,13040948
2014-05-15,155471,99,13040948
2014-05-16,155976,99,13040948
2014-05-17,156602,99,13040948
2014-05-18,157443,99,13040948
2014-05-19,158185,99,13040948
2014-05-20,158844,99,13040948
2014-05-21,159623,99,13040948
2014-05-22,160199,99,13040948
2014-05-23,160917,99,13040948
2014-05-24,161600,99,13040948
2014-05-25,162229,99,13040948
2014-05-26,163046,99,13040948
2014-05-27,163690,99,13040948
2014-05-28,164481,99,13040948
2014-05-29,165233,99,13040948
2014-05-30,165787,99,13040948
2014-05-31,166432,99,13040948
2014-06-01,167251,99,13040948
2014-06-02,168036,99,13040948
2014-06-03,168613,99,13040948
2014-06-05,155815,99,13120948
2014-06-06,156339,99,13120948
2014-06-07,156939,99,13120948
2014-06-08,157587,99,13120975
2014-06-09,158244,99,13120975
2014-06-10,158696,99,13120975
2014-06-12,159710,99,13120975
2014-06-13,160279,99,13120975
2014-06-14,160827,99,13120975
2014-06-15,161334,99,13121002
2014-06-16,162055,99,13121002
2014-06-17,162582,99,13121002
2014-06-18,163325,99,13121002
2014-06-19,163838,99,13121002
2014-06-20,164410,99,13121002
2014-06-21,164933,99,13121002
2014-06-24,166414,99,13121057
2014-06-25,166884,99,13121057
2014-06-26,167413,99,13121057
2014-06-27,167873,99,13121057
2014-06-30,169417,99,13121074
2014-07-01,169875,99,13121074
2014-07-02,170321,99,13121374
2014-07-06,172058,99,13121374
2014-07-07,172597,99,13121374
2014-07-08,172892,99,13121374
2014-07-09,173417,99,13121374
2014-07-10,173834,99,13121374
2014-07-11,174346,99,13121374
2014-07-12,174842,99,13121374
2014-07-13,175217,99,13121374
2014-07-14,175705,99,13121374
2014-07-15,176592,99,13121374
2014-07-18,178817,99,13121374
2014-07-19,179382,99,13121374
2014-07-21,170234,99,13207985
2014-07-24,171317,99,13208009
2014-07-25,171778,99,13208009
2014-07-26,172237,99,13208009
2014-07-27,172669,99,13208009
2014-07-28,173126,99,13208009
2014-07-29,173517,99,13208009
2014-07-30,173915,99,13208009
2014-07-31,174311,99,13208009
2014-08-01,174659,99,13208009
2014-08-02,175012,99,13208009
2014-08-03,175400,99,13208009
2014-08-04,175861,99,13208009
2014-08-05,176178,99,13208009
2014-08-06,176536,99,13208009
2014-08-07,176903,99,13208009
2014-08-09,177217,99,13208027
2014-08-10,177494,99,13208027
2014-08-11,177834,99,13208307
2014-08-12,178001,99,13209277
2014-08-13,178210,99,13209797
2014-08-15,178866,99,13209797
2014-08-16,179200,99,13209797
2014-08-17,,0,0
2014-08-18,,0,0
2014-08-19,177246,99,13236131
2014-08-20,176392,99,13238534
2014-08-21,174944,99,13244182
2014-08-22,168348,99,13299400
2014-08-23,161411,99,13349694
2014-08-24,158388,99,13382448
2014-08-25,157449,99,13382448
2014-08-27,152534,99,13382448
2014-08-28,152579,99,13382448
2014-08-29,152108,99,13391051
2014-08-30,146354,99,13491884
2014-08-31,146532,99,13491884
2014-09-01,144517,99,13531716
2014-09-02,144129,99,13538305
2014-09-03,144116,99,13538306
2014-09-04,144107,99,13539006
2014-09-05,142588,99,13572708
2014-09-06,142558,99,13574695
2014-09-08,141399,99,13603372
2014-09-09,139592,99,13649504
2014-09-10,136594,99,13725207
2014-09-11,134634,99,13779828
2014-09-13,134452,99,13787289
2014-09-14,134453,99,13789010
2014-09-15,134065,99,13799434
2014-09-16,133883,99,13799434
2014-09-18,133777,99,13799434
2014-09-19,133727,99,13799434
2014-09-20,130415,99,13898160
2014-09-21,130437,99,13898160
2014-09-22,129717,99,13920112
2014-09-24,129548,99,13926115
2014-09-25,129001,99,13943201
2014-09-26,128829,99,13947352
2014-09-27,128350,99,13962826
2014-09-28,123621,99,14127500
2014-09-29,123540,99,14130045
2014-09-30,121415,99,14205040
2014-10-01,118960,99,14301468
2014-10-02,117400,99,14371538
2014-10-03,114307,99,14510248
2014-10-04,113445,99,14552058
2014-10-05,111102,99,14673812
2014-10-06,108909,99,14787249
2014-10-07,108319,99,14822300
2014-10-08,107763,99,14851328
2014-10-10,107705,99,14856283
2014-10-11,107714,99,14856286
2014-10-12,107739,99,14856301
2014-10-13,107675,99,14856386
