date,rank,level,xp
2013-01-04,43567,96,9935099
2013-01-05,43321,96,9950155
2013-01-06,43364,96,9950487
2013-01-07,43344,96,9950515
2013-01-08,43354,96,9950530
2013-01-09,43361,96,9950559
2013-01-10,43393,96,9950587
2013-01-11,43417,96,9950602
2013-01-12,43461,96,9950611
2013-01-13,43485,96,9950628
2013-01-14,43536,96,9950633
2013-01-16,43626,96,9950652
2013-01-17,43681,96,9950667
2013-01-18,43733,96,9950673
2013-01-19,43794,96,9950957
2013-01-20,43833,96,9951369
2013-01-21,43897,96,9951479
2013-01-22,40132,96,9952200
2013-01-23,40201,96,9952232
2013-01-24,40290,96,9952237
2013-01-25,40387,96,9952270
2013-01-26,40524,96,9952297
2013-01-27,40646,96,9952316
2013-01-28,40754,96,9952335
2013-01-30,40753,96,9952340
2013-01-31,40286,96,9952399
2013-02-01,40350,96,9952399
2013-02-02,40162,96,9977416
2013-02-03,40251,96,9979694
2013-02-04,40323,96,9979844
2013-02-05,40376,96,9979861
2013-02-06,40435,96,9980410
2013-02-07,40500,96,9980418
2013-02-08,40555,96,9980423
2013-02-09,40640,96,9980428
2013-02-10,40744,96,9980432
2013-02-11,40838,96,9980440
2013-02-12,40906,96,9980460
2013-02-13,40906,96,9980460
2013-02-14,40906,96,9980460
2013-02-15,40906,96,9980460
2013-02-16,40906,96,9980460
2013-02-17,40906,96,9980460
2013-02-18,41451,96,10008317
2013-02-19,40351,96,10008605
2013-02-20,40532,96,10008615
2013-02-21,40877,96,10008663
2013-02-22,41471,96,10008668
2013-02-23,41640,96,10008673
2013-02-24,41950,96,10008677
2013-02-25,42222,96,10008677
2013-02-26,42294,96,10008682
2013-02-27,42463,96,10008687
2013-03-01,42814,96,10008740
2013-03-02,43013,96,10008759
2013-03-03,43202,96,10008764
2013-03-04,43370,96,10008769
2013-03-05,42138,96,10158977
2013-03-06,42338,96,10159315
2013-03-07,42279,96,10187108
2013-03-08,42393,96,10187486
2013-03-09,42509,96,10187591
2013-03-10,36225,99,13035604
2013-03-11,36222,99,13036061
2013-03-13,36342,99,13036076
2013-03-14,36395,99,13036080
2013-03-15,36385,99,13036150
2013-03-16,36442,99,13036284
2013-03-17,36516,99,13036347
2013-03-18,36565,99,13036505
2013-03-19,36592,99,13036510
2013-03-20,36646,99,13036515
2013-03-21,36702,99,13036515
2013-03-22,36742,99,13036515
2013-03-23,36811,99,13036515
2013-03-24,36862,99,13036515
2013-03-25,36926,99,13036515
2013-03-26,34575,99,13055939
2013-03-27,32779,99,13075350
2013-03-28,31227,99,13094831
2013-03-29,31249,99,13094964
2013-03-31,29908,99,13114797
2013-04-01,29952,99,13114850
2013-04-02,29978,99,13115231
2013-04-03,29932,99,13116090
2013-04-04,29825,99,13117533
2013-04-05,29835,99,13117995
2013-04-06,29803,99,13118860
2013-04-07,29821,99,13119255
2013-04-08,29876,99,13119268
2013-04-09,29894,99,13119268
2013-04-10,29932,99,13119268
