date,rank,level,xp
2013-01-04,28319,99,13101896
2013-01-05,28235,99,13102639
2013-01-06,27246,99,13127928
2013-01-07,27244,99,13127975
2013-01-08,27238,99,13128698
2013-01-09,27245,99,13129451
2013-01-10,27273,99,13129498
2013-01-11,27318,99,13129498
2013-01-12,27368,99,13129498
2013-01-13,27388,99,13130091
2013-01-14,26985,99,13142916
2013-01-16,26575,99,13157223
2013-01-17,26657,99,13157270
2013-01-18,26708,99,13157270
2013-01-19,26781,99,13157317
2013-01-20,26027,99,13180867
2013-01-21,26088,99,13180867
2013-01-22,22787,99,13221605
2013-01-23,22811,99,13223107
2013-01-24,22881,99,13223107
2013-01-25,22928,99,13223154
2013-01-26,22965,99,13223352
2013-01-27,23007,99,13223446
2013-01-28,23025,99,13223493
2013-01-30,23023,99,13223493
2013-01-31,22737,99,13223541
2013-02-01,22803,99,13223541
2013-02-02,22150,99,13253588
2013-02-03,21597,99,13282062
2013-02-04,21613,99,13283519
2013-02-05,21645,99,13283566
2013-02-06,21652,99,13286190
2013-02-07,21701,99,13286237
2013-02-08,21729,99,13286284
2013-02-09,21770,99,13286284
2013-02-10,21837,99,13286284
2013-02-11,21883,99,13286331
2013-02-12,21932,99,13286331
2013-02-13,21932,99,13286331
2013-02-14,21932,99,13286331
2013-02-15,21932,99,13286331
2013-02-16,21932,99,13286331
2013-02-17,21932,99,13286331
2013-02-18,22354,99,13286763
2013-02-19,21661,99,13287538
2013-02-20,21733,99,13288623
2013-02-21,21918,99,13288623
2013-02-22,22043,99,13294600
2013-02-23,22100,99,13294646
2013-02-24,22285,99,13294693
2013-02-25,22447,99,13294740
2013-02-26,22463,99,13294834
2013-02-27,22543,99,13294927
2013-03-01,22801,99,13294974
2013-03-02,22902,99,13295021
2013-03-03,23038,99,13295068
2013-03-04,23164,99,13295114
2013-03-05,23102,99,13295214
2013-03-06,23206,99,13295222
2013-03-07,23276,99,13295269
2013-03-08,23358,99,13295316
2013-03-09,23436,99,13295363
2013-03-10,23472,99,13297594
2013-03-11,23552,99,13297640
2013-03-13,23688,99,13297752
2013-03-14,23746,99,13297799
2013-03-15,23779,99,13297846
2013-03-16,23829,99,13297893
2013-03-17,23884,99,13297986
2013-03-18,23918,99,13297986
2013-03-19,23922,99,13298033
2013-03-20,23974,99,13298127
2013-03-21,23124,99,13333000
2013-03-22,23160,99,13333000
2013-03-23,23193,99,13333000
2013-03-24,23238,99,13333000
2013-03-25,23292,99,13333000
2013-03-26,23332,99,13333047
2013-03-27,23370,99,13333099
2013-03-28,22867,99,13357242
2013-03-29,22702,99,13366991
2013-03-31,22766,99,13367085
2013-04-01,22810,99,13367085
2013-04-02,22864,99,13367135
2013-04-03,22760,99,13372740
2013-04-04,22694,99,13377468
2013-04-05,22703,99,13377514
2013-04-06,22675,99,13379103
2013-04-07,22707,99,13379196
2013-04-08,22747,99,13379196
2013-04-09,22767,99,13379196
2013-04-10,22817,99,13379196
2013-04-11,21798,99,13379196
2013-04-12,21810,99,13379196
2013-04-13,21846,99,13379196
2013-04-14,21888,99,13379196
2013-04-15,21911,99,13380315
2013-04-16,21933,99,13380315
2013-04-18,22000,99,13380491
2013-04-19,21800,99,13380491
2013-04-20,21811,99,13380491
2013-04-21,21802,99,13382675
2013-04-24,21120,99,13417675
2013-04-25,20839,99,13434879
2013-04-26,20792,99,13434879
2013-04-30,20517,99,13454743
2013-05-01,20523,99,13455419
2013-05-02,20419,99,13462816
2013-05-03,20439,99,13462816
2013-05-04,20455,99,13462816
2013-05-05,20457,99,13464890
2013-05-06,20245,99,13477747
2013-05-07,20270,99,13477747
2013-05-08,20287,99,13477747
2013-05-09,20326,99,13477747
2013-05-12,20245,99,13485048
2013-05-13,20274,99,13485048
2013-05-14,20277,99,13485048
2013-05-15,20289,99,13485048
2013-05-18,20339,99,13485048
2013-05-19,20357,99,13485048
2013-05-20,20374,99,13485048
2013-05-21,20514,99,13485048
