date,rank,level,xp
2013-01-04,322429,78,1657965
2013-01-05,322500,78,1658015
2013-01-06,323149,78,1658065
2013-01-07,323543,78,1658090
2013-01-08,323885,78,1658202
2013-01-09,324138,78,1658315
2013-01-10,324341,78,1658365
2013-01-11,324584,78,1658465
2013-01-12,324981,78,1658465
2013-01-13,307187,79,1909552
2013-01-14,307676,79,1909910
2013-01-16,308397,79,1910035
2013-01-17,305285,80,1986227
2013-01-18,305639,80,1986252
2013-01-19,306194,80,1986302
2013-01-20,306957,80,1986352
2013-01-21,307541,80,1986352
2013-01-22,262099,80,1986517
2013-01-23,262724,80,1986592
2013-01-24,263302,80,1986592
2013-01-25,263876,80,1986642
2013-01-26,264463,80,1986717
2013-01-27,265221,80,1986767
2013-01-28,265628,80,1986817
2013-01-30,265592,80,1986817
2013-01-31,254857,80,2018195
2013-02-01,255367,80,2018195
2013-02-02,255945,80,2018245
2013-02-03,256703,80,2018835
2013-02-04,257429,80,2018885
2013-02-05,257939,80,2018935
2013-02-06,258215,80,2018985
2013-02-07,258646,80,2019010
2013-02-08,259073,80,2019010
2013-02-09,259603,80,2019073
2013-02-10,260372,80,2019073
2013-02-11,261132,80,2019123
2013-02-12,261653,80,2019123
2013-02-13,261653,80,2019123
2013-02-14,261653,80,2019123
2013-02-15,261653,80,2019123
2013-02-16,261653,80,2019123
2013-02-17,261653,80,2019123
2013-02-18,267881,80,2019373
2013-02-19,251734,80,2019460
2013-02-20,253002,80,2019460
2013-02-21,255194,80,2019510
2013-02-22,259278,80,2019560
2013-02-23,259788,80,2019610
2013-02-24,263293,80,2019635
2013-02-25,266456,80,2023641
2013-02-26,266879,80,2023666
2013-02-27,267510,80,2023691
2013-03-01,271751,80,2023716
2013-03-02,274058,80,2023741
2013-03-03,276806,80,2023791
2013-03-04,278799,80,2023816
2013-03-05,276147,80,2024641
2013-03-06,277919,80,2024691
2013-03-07,279482,80,2024741
2013-03-08,280821,80,2024817
2013-03-09,282236,80,2024867
2013-03-10,284162,80,2024942
2013-03-11,285779,80,2025017
2013-03-13,288286,80,2025167
2013-03-14,289090,80,2025242
2013-03-15,289948,80,2025342
2013-03-16,290854,80,2025417
2013-03-17,292267,80,2025467
2013-03-18,293384,80,2025517
2013-03-19,293282,80,2035612
2013-03-20,294036,80,2036187
2013-03-21,292052,80,2064215
2013-03-22,292757,80,2064215
2013-03-23,293457,80,2064215
2013-03-24,294307,80,2064215
2013-03-25,295339,80,2064240
2013-03-26,296100,80,2064290
2013-03-27,296788,80,2064340
2013-03-28,297492,80,2064340
2013-03-29,298257,80,2064515
2013-03-31,299540,80,2068570
2013-04-01,300498,80,2068620
2013-04-02,301047,80,2068645
2013-04-03,301501,80,2069036
2013-04-04,301613,80,2069625
2013-04-05,301962,80,2069675
2013-04-06,300097,80,2092308
2013-04-07,300535,80,2092358
2013-04-08,300969,80,2092508
2013-04-09,301199,80,2092958
2013-04-10,301478,80,2092958
2013-04-11,275083,80,2092958
2013-04-12,275506,80,2092958
2013-04-13,276028,80,2092958
2013-04-14,276646,80,2093948
2013-04-15,277286,80,2093948
2013-04-16,277659,80,2094848
2013-04-18,278069,80,2095948
2013-04-19,272807,80,2100379
2013-04-20,273152,80,2100529
2013-04-21,273662,80,2100679
2013-04-24,270973,80,2100729
2013-04-25,271161,80,2101479
2013-04-26,270173,80,2101479
2013-04-30,271854,80,2103930
2013-05-01,272069,80,2104530
2013-05-02,272360,80,2104830
2013-05-03,272451,80,2105280
2013-05-04,272654,80,2105280
2013-05-05,272984,80,2106180
2013-05-06,272564,80,2116193
2013-05-07,271918,80,2126400
2013-05-08,271980,80,2126700
2013-05-09,272022,80,2127000
2013-05-12,272665,80,2128480
2013-05-13,272945,80,2128655
2013-05-14,269503,80,2186738
2013-05-15,269648,80,2186738
2013-05-18,270026,80,2186738
2013-05-19,270437,80,2186738
2013-05-20,270857,80,2186738
2013-05-21,271135,80,2186738
2013-05-24,271822,80,2186738
2013-05-25,271822,80,2186738
2013-05-26,271822,80,2186738
2013-05-27,253352,80,2186738
2013-05-28,253748,80,2186738
2013-05-29,251700,80,2186738
2013-05-30,252052,80,2186738
2013-05-31,252458,80,2186738
2013-06-01,252896,80,2186738
2013-06-02,253477,80,2186738
2013-06-04,254482,80,2186738
2013-06-05,254905,80,2186738
2013-06-06,255354,80,2186738
2013-06-07,255788,80,2186738
2013-06-08,256261,80,2186738
2013-06-11,257766,80,2186738
2013-06-12,250538,80,2186738
2013-06-13,250467,80,2186738
2013-06-14,250955,80,2186738
2013-06-15,250849,80,2186738
2013-06-16,251321,80,2186738
2013-06-17,251848,80,2186738
2013-06-18,252380,80,2186738
2013-06-19,249840,80,2186738
2013-06-20,249613,80,2186738
2013-06-21,249816,80,2186738
2013-06-22,250056,80,2186738
2013-06-23,249669,80,2186738
2013-06-24,250467,80,2186738
2013-06-25,251303,80,2186738
2013-06-26,251306,80,2186738
2013-06-29,251264,80,2186738
2013-06-30,252521,80,2186738
2013-07-01,253165,80,2186738
2013-07-05,247470,80,2186738
2013-07-06,247975,80,2186738
2013-07-07,248534,80,2186738
2013-07-08,248854,80,2186738
2013-07-11,249756,80,2186738
2013-07-12,250287,80,2186738
2013-07-13,250710,80,2186738
2013-07-14,251008,80,2186738
2013-07-17,252117,80,2186738
2013-07-18,252364,80,2186738
2013-07-19,252584,80,2186738
2013-07-20,251022,80,2186738
2013-07-23,243544,80,2186783
2013-07-24,243677,80,2186783
2013-07-25,243587,80,2186783
2013-07-29,244578,80,2186783
2013-07-30,244926,80,2186783
2013-07-31,245320,80,2186783
2013-08-01,241920,80,2186783
2013-08-02,241885,80,2186783
2013-08-03,242219,80,2186783
2013-08-04,242603,80,2186783
2013-08-05,242921,80,2186783
2013-08-06,242546,80,2186783
2013-08-07,242810,80,2186783
2013-08-08,242788,80,2186783
2013-08-09,238906,80,2186783
2013-08-10,238501,80,2186783
2013-08-11,238572,80,2186783
2013-08-12,238798,80,2186783
2013-08-13,239023,80,2186783
2013-08-16,239172,80,2186783
2013-08-17,235840,80,2186783
2013-08-18,235879,80,2186783
2013-08-20,236040,80,2186783
2013-08-21,233962,80,2186783
2013-08-22,233540,80,2186783
2013-08-23,232274,80,2186783
2013-08-24,232487,80,2186783
2013-08-25,232668,80,2186783
2013-08-26,232700,80,2186783
2013-08-27,232606,80,2186783
2013-08-28,232572,80,2186783
2013-08-29,229006,80,2186783
2013-08-30,228898,80,2186783
2013-08-31,228844,80,2186783
2013-09-02,229251,80,2186783
2013-09-03,229488,80,2186783
2013-09-04,226928,80,2186783
2013-09-05,226865,80,2186783
2013-09-06,226504,80,2186783
2013-09-09,224816,80,2186783
2013-09-10,224504,80,2186783
2013-09-11,224347,80,2186783
2013-09-12,224199,80,2186783
2013-09-13,224099,80,2186783
2013-09-14,224110,80,2186783
2013-09-15,224145,80,2186783
2013-09-16,224191,80,2186783
2013-09-17,219574,80,2186783
2013-09-18,219473,80,2186783
2013-09-21,218541,80,2186783
2013-09-22,218436,80,2186783
2013-09-23,218302,80,2186783
2013-09-25,217776,80,2186783
2013-09-26,218192,80,2186783
2013-09-27,218592,80,2186783
2013-09-28,214836,80,2186783
2013-09-29,215288,80,2186783
2013-09-30,215634,80,2186783
2013-10-02,215844,80,2186783
2013-10-03,215902,80,2186783
2013-10-04,215973,80,2186783
2013-10-05,213954,80,2186783
2013-10-06,214205,80,2186783
2013-10-07,214444,80,2186783
2013-10-08,214475,80,2186783
2013-10-09,214532,80,2186783
2013-10-10,214523,80,2186783
2013-10-11,214549,80,2186783
2013-10-12,214647,80,2186783
2013-10-15,215144,80,2186783
2013-10-16,215078,80,2186783
2013-10-17,215221,80,2186783
2013-10-18,215330,80,2186783
2013-10-20,215894,80,2186783
2013-10-21,216231,80,2186783
2013-10-22,216327,80,2186783
2013-10-23,210918,80,2186783
2013-10-24,211093,80,2186783
2013-10-27,211554,80,2186783
2013-10-28,211999,80,2186783
2013-10-29,212158,80,2186783
2013-10-30,210037,80,2186783
2013-11-02,209803,80,2190764
2013-11-03,210149,80,2190764
2013-11-04,209873,81,2198725
2013-11-07,210025,81,2198725
2013-11-08,209951,81,2198725
2013-11-09,210017,81,2198725
2013-11-10,210263,81,2198725
2013-11-11,210532,81,2198725
2013-11-14,206599,81,2198725
2013-11-15,206694,81,2198725
2013-11-16,206837,81,2198725
2013-11-17,207281,81,2198725
2013-11-20,207831,81,2198725
2013-11-21,207929,81,2198725
2013-11-22,208006,81,2198725
2013-11-26,208884,81,2198725
2013-11-27,205340,81,2198725
2013-11-28,205568,81,2198725
2013-11-29,205725,81,2198725
2013-12-02,206618,81,2198725
2013-12-03,206736,81,2198725
2013-12-04,206803,81,2198725
2013-12-05,206847,81,2198725
2013-12-08,207607,81,2198725
2013-12-09,207962,81,2198725
2013-12-10,208121,81,2198725
2013-12-11,208247,81,2198725
2013-12-13,204465,81,2198725
2013-12-14,204697,81,2198725
2013-12-15,205174,81,2198725
2013-12-16,205644,81,2198725
2013-12-17,205995,81,2198725
2013-12-20,207265,81,2198725
2013-12-21,207990,81,2199155
2013-12-22,208709,81,2199155
2013-12-23,209415,81,2199155
2013-12-26,211698,81,2199945
2013-12-27,211971,81,2199945
2013-12-29,212960,81,2199945
2014-01-01,214300,81,2199970
2014-01-02,214801,81,2199970
2014-01-03,215217,81,2199970
2014-01-05,216100,81,2199970
2014-01-07,216885,81,2199970
2014-01-08,217169,81,2199970
2014-01-09,217401,81,2199970
2014-01-10,217670,81,2199970
2014-01-12,218623,81,2199970
2014-01-13,219096,81,2199970
2014-01-14,219491,81,2199970
2014-01-15,219823,81,2199970
2014-01-16,220068,81,2199970
2014-01-17,213533,81,2200220
2014-01-18,213959,81,2200220
2014-01-19,214483,81,2200220
2014-01-20,214998,81,2200220
2014-01-21,215292,81,2200220
2014-01-22,215568,81,2200220
2014-01-25,216348,81,2200220
2014-01-26,216884,81,2200220
2014-01-27,217471,81,2200220
2014-01-31,214139,81,2200220
2014-02-01,215166,81,2200220
2014-02-02,216080,81,2200220
2014-02-03,216774,81,2200220
2014-02-06,216037,81,2200220
2014-02-07,216362,81,2200220
2014-02-08,216796,81,2200220
2014-02-09,216963,81,2200220
2014-02-10,217530,81,2200220
2014-02-11,217778,81,2200220
2014-02-12,218158,81,2200220
2014-02-13,218515,81,2200220
2014-02-14,218915,81,2200220
2014-02-15,219358,81,2200220
2014-02-16,220087,81,2200220
2014-02-17,220557,81,2200220
2014-02-18,220985,81,2200220
2014-02-19,216058,81,2200220
2014-02-20,216425,81,2200220
2014-02-21,216884,81,2200220
2014-02-22,217894,81,2200220
2014-02-23,218830,81,2200220
2014-02-24,219441,81,2200220
2014-02-25,219806,81,2200220
2014-02-26,220070,81,2200220
2014-02-27,220388,81,2200220
2014-02-28,220504,81,2200220
2014-03-01,220790,81,2200220
2014-03-02,221263,81,2200220
2014-03-03,221778,81,2200220
2014-03-04,222054,81,2200220
2014-03-05,221994,81,2200220
2014-03-06,222185,81,2200220
2014-03-07,222223,81,2200220
2014-03-08,222414,81,2200220
2014-03-09,222809,81,2200220
2014-03-10,223065,81,2200220
2014-03-11,223131,81,2200220
2014-03-12,223268,81,2200220
2014-03-13,216555,81,2200220
2014-03-14,216751,81,2200220
2014-03-15,216984,81,2200220
2014-03-16,217323,81,2200220
2014-03-17,217620,81,2200220
2014-03-19,215655,81,2200220
2014-03-20,215605,81,2200220
